annual_id,annual_year,asset_zmt,debt_amt,owner_equity_toatal,opt_income_total,profit_total,net_profit,tax_total,pripid,uni_social_crd_cd,comp_nm
52458977cc7647a2aee94fbf62aa35df,2022,135000,45454,89546,-11016,-3612,-4935,0,330206MA7C1XY7X4,92330206MA7C1XY7X4,宁波梅山保税港区海根周阳晨商务服务部
1a816612568440ea869b3314fc43d9c5,2023,71000,24611,46389,-12954,-6575,-8382,0,330206MA7C1XY7X4,92330206MA7C1XY7X4,宁波梅山保税港区海根周阳晨商务服务部
68ea67bbeabd4cbf928eb801fd2b6359,2020,134000,41230,92770,52679,13763,-70224,138,330206MA7C3HQP3T,92330206MA7C3HQP3T,宁波梅山保税港区尽良筹王杠商务服务部
c70dfbd1f73942ce83713c28d9e72792,2021,126000,20756,105244,6910,5666,3204,57,330206MA7C3HQP3T,92330206MA7C3HQP3T,宁波梅山保税港区尽良筹王杠商务服务部
7e614267e2b94baaad7733de51935769,2022,97000,11789,85211,11010,24577,21903,246,330206MA7C3HQP3T,92330206MA7C3HQP3T,宁波梅山保税港区尽良筹王杠商务服务部
d9278c6d89c24b59a2d3077cf4ec3fd0,2023,82000,10458,71542,-15165,-22014,-33570,0,330206MA7C3HQP3T,92330206MA7C3HQP3T,宁波梅山保税港区尽良筹王杠商务服务部
07b9ebd2c683463b9b91a7da25595a00,2020,147000,41682,105318,-1304,-362,-504,0,330206MA7F9LEA07,92330206MA7F9LEA07,宁波梅山保税港区金湛史庆逸商务服务部
c01f242a4c41411491ad05deb26305d5,2021,97000,20095,76905,11851,11539,9714,115,330206MA7F9LEA07,92330206MA7F9LEA07,宁波梅山保税港区金湛史庆逸商务服务部
6448ad5007094d32a0ec072cbed9ee04,2022,77000,13208,63792,-10025,-12357,-20682,0,330206MA7F9LEA07,92330206MA7F9LEA07,宁波梅山保税港区金湛史庆逸商务服务部
1788fd280602438a84e60c15e3bc080a,2023,78000,22174,55826,13660,12724,7731,127,330206MA7F9LEA07,92330206MA7F9LEA07,宁波梅山保税港区金湛史庆逸商务服务部
eaa62b6c68204294a7521c2c1511d1c4,2020,872836580,309005860,563830720,-17568225,19155338,19145553,4788834,33020661026074XL,9133020661026074XL,宁波花港高速客轮有限公司
ee5c379a3fda432a9c774623a4a6bab9,2021,697157840,248301032,448856808,29044467,24939075,17720877,6234769,33020661026074XL,9133020661026074XL,宁波花港高速客轮有限公司
e96c97fe290744f4ba12fdd0b878ed13,2022,843745581,566185798,277559783,-17162900,-5863801,-6629817,0,33020661026074XL,9133020661026074XL,宁波花港高速客轮有限公司
92e392a21ec149d68d1e25807f6cbbed,2023,787967552,396533635,391433917,370703776,303503872,192151554,75875968,33020661026074XL,9133020661026074XL,宁波花港高速客轮有限公司
5b21a67565584cb09ab407b113b15737,2020,113000,38236,74764,10994,9678,6777,97,330206MA7FA1668W,92330206MA7FA1668W,宁波梅山保税港区金湛佳伟商务服务部
f8db447bfc26469c9d73b810851d033d,2021,148000,24687,123313,-16508,-5823,-7053,0,330206MA7FA1668W,92330206MA7FA1668W,宁波梅山保税港区金湛佳伟商务服务部
3f5ba9ed21d24ec58c916fa9a613030b,2022,100000,19060,80940,26450,25228,17358,252,330206MA7FA1668W,92330206MA7FA1668W,宁波梅山保税港区金湛佳伟商务服务部
5b11068a94b341a59966bbc1ff350003,2023,114000,17727,96273,-16435,-6471,-8379,0,330206MA7FA1668W,92330206MA7FA1668W,宁波梅山保税港区金湛佳伟商务服务部
1eae1b89cf054ee3b61f7591b0bb20ac,2020,78740707,50067520,28673187,11163284,9467547,6209529,2366887,33020607921748XK,9133020607921748XK,宁波亚居拉贸易有限公司
ba3639c4cb964e91b2999d0aa4dc7114,2021,64822303,35500396,29321907,-18923835,-6886607,-9646311,0,33020607921748XK,9133020607921748XK,宁波亚居拉贸易有限公司
d6b9ebafb4384af6ba3334824ac6a684,2022,80872655,52319784,28552871,-13395520,-9786579,-11759145,0,33020607921748XK,9133020607921748XK,宁波亚居拉贸易有限公司
47d8dd4a8e9a418099a4cbdc7a1f950b,2023,62105241,24710916,37394325,8655746,14910330,14908023,3727582,33020607921748XK,9133020607921748XK,宁波亚居拉贸易有限公司
3a72901f7a5646fdaa0b1408e8c60a54,2020,126000,33126,92874,31209,29409,18660,294,330206MA2EKW8278,92330206MA2EKW8278,宁波市北仑区新矸金帆文百商店
3fbee9b92fa84232946bba47ab2e5bd1,2021,74000,19442,54558,9936,7407,-8115,74,330206MA2EKW8278,92330206MA2EKW8278,宁波市北仑区新矸金帆文百商店
2b8d2280416e43368f4753d7e94e2302,2022,88000,18981,69019,6764,19600,11172,196,330206MA2EKW8278,92330206MA2EKW8278,宁波市北仑区新矸金帆文百商店
5e450d8bb6e948cca21d5e6923a954e3,2023,93000,36003,56997,3699,3266,1632,33,330206MA2EKW8278,92330206MA2EKW8278,宁波市北仑区新矸金帆文百商店
3e2a1ffb9ffe4422a34ca731200f3d03,2020,48777117,16211864,32565253,-9545896,-10126166,-11543037,0,330206MA2GT3XNX2,91330206MA2GT3XNX2,妙乐（宁波）文化创意有限公司
c8bec6097210410d8e60849b43bd5e00,2021,65606997,21767805,43839192,-2884663,-1615189,-2086710,0,330206MA2GT3XNX2,91330206MA2GT3XNX2,妙乐（宁波）文化创意有限公司
8b6d0c460fd8449da841ea9d4308c766,2022,51110157,30678736,20431421,402351,323248,167727,80812,330206MA2GT3XNX2,91330206MA2GT3XNX2,妙乐（宁波）文化创意有限公司
25254605a9044012b633f43d7f537fc9,2023,70577096,22386324,48190772,21979432,19387174,13876263,4846794,330206MA2GT3XNX2,91330206MA2GT3XNX2,妙乐（宁波）文化创意有限公司
61c48b82e00f4e1ab2ad513512e4a5e4,2020,2198505,1274689,923816,370939,340305,113523,3403,330206MA7JRX6D9D,92330206MA7JRX6D9D,宁波北仑小零广告策划部
c1ecd705cf7f4936aa602c2f3a0720e6,2021,1602630,901137,701493,-404837,-431871,-536334,0,330206MA7JRX6D9D,92330206MA7JRX6D9D,宁波北仑小零广告策划部
b21fd69f2d814ca08c4d253c257a7c12,2022,1614398,317468,1296930,266079,231438,106635,2314,330206MA7JRX6D9D,92330206MA7JRX6D9D,宁波北仑小零广告策划部
823c40932e514a5a96466ea0a9fb1f68,2023,1260915,577252,683663,28980,25236,18243,252,330206MA7JRX6D9D,92330206MA7JRX6D9D,宁波北仑小零广告策划部
69cb72fb390749e2bd6ef5a309f28ee2,2020,91000,15800,75200,-3219,6968,3291,70,330206MA2AHNYG2Y,92330206MA2AHNYG2Y,宁波市北仑区灵灵舞蹈工作室
82095ef2be4f4fcd87758d62d110af1a,2021,145000,18822,126178,32238,29800,22911,298,330206MA2AHNYG2Y,92330206MA2AHNYG2Y,宁波市北仑区灵灵舞蹈工作室
5d38bd6c2bbe4ab8bf594a03b1230137,2022,122000,27419,94581,37356,32895,23373,329,330206MA2AHNYG2Y,92330206MA2AHNYG2Y,宁波市北仑区灵灵舞蹈工作室
8d82fd9567d5431eac0de2bec86ecf9e,2023,119000,42281,76719,34064,32323,19845,323,330206MA2AHNYG2Y,92330206MA2AHNYG2Y,宁波市北仑区灵灵舞蹈工作室
ad95b2813be947618dd037222572f7c6,2020,84000,20654,63346,-5698,-2646,-3159,0,330206MA2J65K60L,92330206MA2J65K60L,宁波梅山保税港区金湛刘斐菲商务服务部
141d10cb934b44b6bd65d6d75ac0951c,2021,128000,45700,82300,4884,1448,-5397,14,330206MA2J65K60L,92330206MA2J65K60L,宁波梅山保税港区金湛刘斐菲商务服务部
5194e5d33cfc4702936ae1a88b873773,2022,83000,15171,67829,13798,16025,14109,160,330206MA2J65K60L,92330206MA2J65K60L,宁波梅山保税港区金湛刘斐菲商务服务部
5a74f26de0b74f2d82a8d71fc1e9443d,2023,100000,27813,72187,29510,23430,11160,234,330206MA2J65K60L,92330206MA2J65K60L,宁波梅山保税港区金湛刘斐菲商务服务部
25256b2133254f999145aa0ac13f59d3,2020,1488475,727951,760524,6199,4968,3048,50,330206MACU3HY569,92330206MACU3HY569,宁波北仑宏祺设计工作室
dfb7ea8162914485a52e79c35a4cb6b9,2021,1103999,547016,556983,69406,59463,36846,595,330206MACU3HY569,92330206MACU3HY569,宁波北仑宏祺设计工作室
c3fe17b90d5b4da2b70b3d3bd7c76ffa,2022,1012644,198103,814541,-122800,174613,170157,1746,330206MACU3HY569,92330206MACU3HY569,宁波北仑宏祺设计工作室
10ee0db24b534843891d1872731b7b5f,2023,1153075,228297,924778,-160555,-107496,-121791,0,330206MACU3HY569,92330206MACU3HY569,宁波北仑宏祺设计工作室
2ad9d15d9947425597578178363f68fd,2020,2123419,1120374,1003045,557408,1238558,1232403,12386,330206MA2KQHEG7W,92330206MA2KQHEG7W,宁波市北仑区方祝足浴店
3b4a4331f6604f10a5060d15cdb71d43,2021,2005759,639891,1365868,744634,443532,-150936,4435,330206MA2KQHEG7W,92330206MA2KQHEG7W,宁波市北仑区方祝足浴店
90a272c460f54214a0a6399a2b1b5492,2022,1043124,547445,495679,89289,81502,58173,815,330206MA2KQHEG7W,92330206MA2KQHEG7W,宁波市北仑区方祝足浴店
461d12d363144b6ea1b713564f3a37f8,2023,696496,84969,611527,209440,190709,70275,1907,330206MA2KQHEG7W,92330206MA2KQHEG7W,宁波市北仑区方祝足浴店
c83581a13fd440569c1753b358911135,2020,95000,11008,83992,16371,15179,10617,152,330206MA7DYXCH2P,92330206MA7DYXCH2P,宁波梅山保税港区尽良筹郭从力商务服务部
61265148dec8459ba76ff82fe6e445d0,2021,91000,29553,61447,-2641,-1042,-1431,0,330206MA7DYXCH2P,92330206MA7DYXCH2P,宁波梅山保税港区尽良筹郭从力商务服务部
6bb66844ddb647ad846e6e19292eddd1,2022,87000,20429,66571,14988,12295,7470,123,330206MA7DYXCH2P,92330206MA7DYXCH2P,宁波梅山保税港区尽良筹郭从力商务服务部
0f99a308c1c74fd685459e904a46481f,2023,145000,24861,120139,59103,55887,40884,559,330206MA7DYXCH2P,92330206MA7DYXCH2P,宁波梅山保税港区尽良筹郭从力商务服务部
3dca1d701ef3450bb10d5e3c2630ce4c,2020,140000,31184,108816,12996,12236,9807,122,330206MA7C3HP960,92330206MA7C3HP960,宁波梅山保税港区海根张涛多商务服务部
86d31883573544138df9306ae1f9f31d,2021,95000,23895,71105,39228,57270,49251,573,330206MA7C3HP960,92330206MA7C3HP960,宁波梅山保税港区海根张涛多商务服务部
975f99371a314182b79e09fb4d799dd3,2022,122000,19122,102878,-36600,-23811,-27072,0,330206MA7C3HP960,92330206MA7C3HP960,宁波梅山保税港区海根张涛多商务服务部
1068586cd8ec451d9b50482b5472ade0,2023,102000,39188,62812,26966,22992,12783,230,330206MA7C3HP960,92330206MA7C3HP960,宁波梅山保税港区海根张涛多商务服务部
1e0d1bea5d91487db60aed716f6e1d74,2020,143000,32078,110922,16789,25139,21873,251,330206MA7BJN2GXW,92330206MA7BJN2GXW,宁波梅山保税港区海根朱亚洲高商务服务部
0b3eb5afde70429b97e134ecc40368c5,2021,107000,14307,92693,4301,3825,2379,38,330206MA7BJN2GXW,92330206MA7BJN2GXW,宁波梅山保税港区海根朱亚洲高商务服务部
9dc0db96c32443e2bceeb93b4efbfc03,2022,91000,17715,73285,10770,9363,6996,94,330206MA7BJN2GXW,92330206MA7BJN2GXW,宁波梅山保税港区海根朱亚洲高商务服务部
6d87df7293af4f69bc21104d8de39b15,2023,90000,14926,75074,-26776,-14176,-19983,0,330206MA7BJN2GXW,92330206MA7BJN2GXW,宁波梅山保税港区海根朱亚洲高商务服务部
5cdd7c3272d74d538dc2e2b2c85d16f0,2020,115000,13457,101543,6447,16200,12579,162,330206MA2H6DEL5D,92330206MA2H6DEL5D,宁波市北仑区众甫文化创意工作室
074d9a764a814d2b8f09e137be5c01f7,2021,91000,14640,76360,15599,14403,8238,144,330206MA2H6DEL5D,92330206MA2H6DEL5D,宁波市北仑区众甫文化创意工作室
f1f956bb5994467585a963480edf0f0f,2022,117000,41335,75665,46282,40868,26478,409,330206MA2H6DEL5D,92330206MA2H6DEL5D,宁波市北仑区众甫文化创意工作室
5a39c5d7ad5c49b49be1acea406853e3,2023,142000,23444,118556,-518,-158,-222,0,330206MA2H6DEL5D,92330206MA2H6DEL5D,宁波市北仑区众甫文化创意工作室
278a676141ec4ef381e8ce5e7642b085,2020,102000,16499,85501,-6293,-2054,-2646,0,330206MA2AFJR642,92330206MA2AFJR642,宁波市北仑区小港康春餐馆
612582d737f7493da212f7c4a1273e3d,2021,88000,32397,55603,-30,-33,-60,0,330206MA2AFJR642,92330206MA2AFJR642,宁波市北仑区小港康春餐馆
f19f351c98454b70b75b9dcf59c27302,2022,150000,34769,115231,42462,39612,30651,396,330206MA2AFJR642,92330206MA2AFJR642,宁波市北仑区小港康春餐馆
6c5a7cfb07cc45c9b6da1c20e29c68f0,2023,111000,37320,73680,18398,18004,14781,180,330206MA2AFJR642,92330206MA2AFJR642,宁波市北仑区小港康春餐馆
498976e72fcc4cc68503f7d519ffaaa0,2020,77000,9668,67332,-458,-458,-465,0,330206MACRTUTH77,92330206MACRTUTH77,宁波梅山保税港区海根王某萍海商务服务部
85f9706549504fe0b7a86b20cba621e7,2021,74000,16321,57679,14996,12552,8835,126,330206MACRTUTH77,92330206MACRTUTH77,宁波梅山保税港区海根王某萍海商务服务部
ae02d935528d4483ad2011360700c44f,2022,79000,24249,54751,9433,9000,7077,90,330206MACRTUTH77,92330206MACRTUTH77,宁波梅山保税港区海根王某萍海商务服务部
27273edcc09e4d3bbd6761b71b9d1fab,2023,120000,46768,73232,35247,47627,37830,476,330206MACRTUTH77,92330206MACRTUTH77,宁波梅山保税港区海根王某萍海商务服务部
2d56508cf4e84f2c96a40dbbbb932494,2020,7627723,2689060,4938663,-308241,-171448,-201663,0,330206MA2CMHXQ0E,91330206MA2CMHXQ0E,宁波市北仑区奇奕棋类培训有限公司
58bffc6111294e2a9bc551c881f71b1a,2021,5186255,2768448,2417807,178757,163712,89955,40928,330206MA2CMHXQ0E,91330206MA2CMHXQ0E,宁波市北仑区奇奕棋类培训有限公司
01cfbd802f3345138c16f53d80138a2b,2022,2819282,756606,2062676,60835,54567,39798,13642,330206MA2CMHXQ0E,91330206MA2CMHXQ0E,宁波市北仑区奇奕棋类培训有限公司
a9607847b3f14cbcbb88b81fe476402b,2023,4918687,1775432,3143255,-947845,1064004,1060413,266001,330206MA2CMHXQ0E,91330206MA2CMHXQ0E,宁波市北仑区奇奕棋类培训有限公司
c8ce357a8d594a40976beeadd2f751a9,2020,150000,25009,124991,23883,22815,19839,228,330206MA7CJ3XN0U,92330206MA7CJ3XN0U,宁波梅山保税港区海根孙正权商务服务部
212788b497754b4f87111b31f0a8b3f4,2021,112000,24929,87071,17047,13283,-16005,133,330206MA7CJ3XN0U,92330206MA7CJ3XN0U,宁波梅山保税港区海根孙正权商务服务部
fff23a201e384510bbe5e3cfccb070d3,2022,148000,38762,109238,14951,27611,22296,276,330206MA7CJ3XN0U,92330206MA7CJ3XN0U,宁波梅山保税港区海根孙正权商务服务部
d0bbbd72cff641669721109628a14e55,2023,139000,53156,85844,7378,7053,4386,71,330206MA7CJ3XN0U,92330206MA7CJ3XN0U,宁波梅山保税港区海根孙正权商务服务部
da272d161e5a40ca94c7056ef730d1c0,2020,71000,26434,44566,-12998,-9246,-10848,0,330206MA2903XX7N,92330206MA2903XX7N,宁波市北仑区大碶旭升字牌厂
c242642a31f04e95b32a88fc358f5522,2021,128000,44634,83366,2031,1678,609,17,330206MA2903XX7N,92330206MA2903XX7N,宁波市北仑区大碶旭升字牌厂
873a727941c545bebe1c27ee687aeeda,2022,125000,30141,94859,3932,3530,2841,35,330206MA2903XX7N,92330206MA2903XX7N,宁波市北仑区大碶旭升字牌厂
1b8e5019b07c4d0480273032ea2ba3f7,2023,113000,24587,88413,-6831,-3452,-4185,0,330206MA2903XX7N,92330206MA2903XX7N,宁波市北仑区大碶旭升字牌厂
1e4234a479fb4d9a9f69094ccf568861,2020,91000,18485,72515,6164,5759,3420,58,330206MA2EL40174,92330206MA2EL40174,宁波市北仑区新碶威舜图文设计服务部
f1b0455d7ec645888d83caa64d3a4e9b,2021,121000,20828,100172,21878,19784,13425,198,330206MA2EL40174,92330206MA2EL40174,宁波市北仑区新碶威舜图文设计服务部
98818e85779344d6baa72412ade812d7,2022,79000,18180,60820,37701,28742,11379,287,330206MA2EL40174,92330206MA2EL40174,宁波市北仑区新碶威舜图文设计服务部
d7e77ffc8da44052aecdc05b352d5334,2023,105000,38630,66370,14166,12400,8031,124,330206MA2EL40174,92330206MA2EL40174,宁波市北仑区新碶威舜图文设计服务部
817717342b454f948034a4d4bc441b51,2020,3596384,1459947,2136437,544888,478528,356118,119632,330206567007705F,91330206567007705F,宁波北仑锦秀恒源文化传播有限公司
25909d8939e84c9eab97dfcebad1b609,2021,5796790,1485085,4311705,493369,493124,491226,123281,330206567007705F,91330206567007705F,宁波北仑锦秀恒源文化传播有限公司
2419f2673b9b4cb58a726bf08b451b4e,2022,5453752,3097723,2356029,-1547525,-1124690,-1271574,0,330206567007705F,91330206567007705F,宁波北仑锦秀恒源文化传播有限公司
b488b112506e4e6fae74dc00091b86a8,2023,2758911,1104217,1654694,261261,245727,136446,61432,330206567007705F,91330206567007705F,宁波北仑锦秀恒源文化传播有限公司
acc5cf62b0924e4eabf032fc83cdecb5,2020,110000,12456,97544,12325,10909,5898,109,330206MA2GRR495G,92330206MA2GRR495G,宁波市北仑区柴桥茂定足浴店
0ad9037a0bc9410bbb48d1c275f78fbe,2021,84000,20142,63858,49782,43785,26121,438,330206MA2GRR495G,92330206MA2GRR495G,宁波市北仑区柴桥茂定足浴店
e0d19005a5ba4db785375b7ff4024341,2022,143000,20034,122966,8798,20477,13530,205,330206MA2GRR495G,92330206MA2GRR495G,宁波市北仑区柴桥茂定足浴店
9a8bed749c694deebd73fe14e4de081a,2023,140000,17061,122939,22443,32003,25965,320,330206MA2GRR495G,92330206MA2GRR495G,宁波市北仑区柴桥茂定足浴店
c818c7b236ac41a7b867f8cf29385639,2020,94000,25211,68789,8747,7992,6447,80,330206MA2J6JJC16,92330206MA2J6JJC16,宁波梅山保税港区金湛朱长云商务服务部
a1c6af58166743d1ad4060a0524d240e,2021,121000,20332,100668,-16182,-7860,-10506,0,330206MA2J6JJC16,92330206MA2J6JJC16,宁波梅山保税港区金湛朱长云商务服务部
a00a1c04d6254e5e85eaf7474b331620,2022,119000,42816,76184,39099,34791,20352,348,330206MA2J6JJC16,92330206MA2J6JJC16,宁波梅山保税港区金湛朱长云商务服务部
75d010f1a5a84fa0989af26beaf891a9,2023,82000,22031,59969,20531,18034,13899,180,330206MA2J6JJC16,92330206MA2J6JJC16,宁波梅山保税港区金湛朱长云商务服务部
bc37af661abd4281984e81245dc59fa8,2020,131000,28589,102411,33825,77514,75381,775,330206MA7BBXL119,92330206MA7BBXL119,宁波梅山保税港区海根孔某坡商务服务部
e4f55979cd08437196697071ff1628b0,2021,113000,27647,85353,-9252,-5091,-5685,0,330206MA7BBXL119,92330206MA7BBXL119,宁波梅山保税港区海根孔某坡商务服务部
68da2ec165c44e27a4227201b0e0dd95,2022,132000,20465,111535,50233,47159,37437,472,330206MA7BBXL119,92330206MA7BBXL119,宁波梅山保税港区海根孔某坡商务服务部
ebe77aa6a61e4d1ebf92620665b73ee8,2023,112000,18723,93277,-20201,-7246,-9993,0,330206MA7BBXL119,92330206MA7BBXL119,宁波梅山保税港区海根孔某坡商务服务部
529dfddb769346949d3fbbc7dae1c02c,2020,8012581,3672688,4339893,1741706,982319,-2016240,245580,330206MA2J48WJ0D,91330206MA2J48WJ0D,宁波意冠餐饮管理有限公司
2926732a5b5f4ccda26b3088974ca9d6,2021,15131433,6194509,8936924,8142089,7718075,4485075,1929519,330206MA2J48WJ0D,91330206MA2J48WJ0D,宁波意冠餐饮管理有限公司
7a02fb21eb6c4ef9825e97fcae022a12,2022,8428488,1875581,6552907,-826895,-328029,-447501,0,330206MA2J48WJ0D,91330206MA2J48WJ0D,宁波意冠餐饮管理有限公司
e4d9df4a568843c5a2c413fbc09bf791,2023,28440169,18899114,9541055,-377103,-115574,-143475,0,330206MA2J48WJ0D,91330206MA2J48WJ0D,宁波意冠餐饮管理有限公司
4c673eac27754e9b9a027db251b02b40,2020,140000,16760,123240,16790,15487,10818,155,330206MA2AHWN571,92330206MA2AHWN571,宁波市北仑区龙君产品设计工作室
06a3c8a05fa04246a9269e144388cd0b,2021,137000,23435,113565,-95,-2,-3,0,330206MA2AHWN571,92330206MA2AHWN571,宁波市北仑区龙君产品设计工作室
71de2108626f430bae1c46b3f1d5232f,2022,95000,33041,61959,-19962,-11299,-12756,0,330206MA2AHWN571,92330206MA2AHWN571,宁波市北仑区龙君产品设计工作室
3231a7f1e1674ba188cb8a3799318e4e,2023,75000,15556,59444,8528,7937,5121,79,330206MA2AHWN571,92330206MA2AHWN571,宁波市北仑区龙君产品设计工作室
6375ff9b24754588b6bcd7084d69a21f,2020,140000,47147,92853,-15744,-19415,-34764,0,330206MA2KP1059W,92330206MA2KP1059W,宁波梅山保税港区海根谭伟法商务服务部
a06f115d7e984c8a8d7830a16bd19e06,2021,146000,39343,106657,28428,39502,31965,395,330206MA2KP1059W,92330206MA2KP1059W,宁波梅山保税港区海根谭伟法商务服务部
618c74a5d5284f3384bb973fec6f321a,2022,77000,22571,54429,-6459,-3279,-3648,0,330206MA2KP1059W,92330206MA2KP1059W,宁波梅山保税港区海根谭伟法商务服务部
84c8f89e110245378a878c89c26568fc,2023,109000,36792,72208,44688,39077,17325,391,330206MA2KP1059W,92330206MA2KP1059W,宁波梅山保税港区海根谭伟法商务服务部
f717f57e27ff46e79599ff290e4b64ed,2020,476133,135600,340533,-26973,-11405,-14481,0,330206MACYH2796M,91330206MACYH2796M,宁波不凡创意设计有限公司
93b6574856034db8bf33d7e157f0cb3b,2021,1236662,309175,927487,44009,39146,24141,9786,330206MACYH2796M,91330206MACYH2796M,宁波不凡创意设计有限公司
a8c7de43b3444d91b25b21a9ca99d4ea,2022,1242417,291984,950433,326387,264618,156552,66154,330206MACYH2796M,91330206MACYH2796M,宁波不凡创意设计有限公司
bfa97e3bdcff414d84c8ad64e7f0345e,2023,541230,94981,446249,-79113,13553,7014,3388,330206MACYH2796M,91330206MACYH2796M,宁波不凡创意设计有限公司
6c1076830e9b472c91c6307b09aba2b0,2020,108000,33432,74568,15713,13087,9045,131,330206MA7DKA5T7A,92330206MA7DKA5T7A,宁波梅山保税港区金湛张哲商务服务部
ba2b32f0be2c4254ba1f2526f30d105b,2021,114000,32410,81590,41202,37931,27216,379,330206MA7DKA5T7A,92330206MA7DKA5T7A,宁波梅山保税港区金湛张哲商务服务部
3aaef2a942cd4d63b55c0caa1875d09b,2022,91000,21400,69600,-20156,-23084,-33261,0,330206MA7DKA5T7A,92330206MA7DKA5T7A,宁波梅山保税港区金湛张哲商务服务部
8b28c055ada94a77a2c4e2958bbd626b,2023,140000,48858,91142,19169,4177,-18513,42,330206MA7DKA5T7A,92330206MA7DKA5T7A,宁波梅山保税港区金湛张哲商务服务部
3495ace5d5fb47569a4511160f0c31b5,2020,104000,23118,80882,15805,27755,25791,278,330206MA2EKKKK8A,92330206MA2EKKKK8A,宁波经济技术开发区吴佩琴毛线店
c1fa25236ea5434399692927ae0f5c82,2021,87000,8433,78567,22303,11599,-10002,116,330206MA2EKKKK8A,92330206MA2EKKKK8A,宁波经济技术开发区吴佩琴毛线店
6746a5c75bf04929b6de6d93a7b90249,2022,113000,32224,80776,-16655,-12954,-14703,0,330206MA2EKKKK8A,92330206MA2EKKKK8A,宁波经济技术开发区吴佩琴毛线店
cdd344d9f83646e2a80a19c3ce7c22ba,2023,128000,39940,88060,-21003,-4200,-4818,0,330206MA2EKKKK8A,92330206MA2EKKKK8A,宁波经济技术开发区吴佩琴毛线店
314752be626149318174e9e584c56b94,2020,86000,19430,66570,17577,15087,11004,151,330206MA2J62J90C,92330206MA2J62J90C,宁波梅山保税港区海根时小珍商务服务部
b07ac27837ba451baa0031532be245a8,2021,95000,11116,83884,15142,13343,9669,133,330206MA2J62J90C,92330206MA2J62J90C,宁波梅山保税港区海根时小珍商务服务部
