msxssr,unit_opt_loc,whsyjsf,tax_amt,sale_inco,comp_nm,tax_reg_no,org_no,uni_social_crd_cd,count_dt
,,,,,宁波梅山保税港区海根刘军明商务服务部,,MA2KPX57-4,92330206MA2KPX5746,
,,,,,宁波梅山保税港区金湛王一朗商务服务部,,MA7F9UNR-1,92330206MA7F9UNR1R,
,,,,,宁波梅山保税港区金湛张沈锋商务服务部,,MA2J48UL-4,92330206MA2J48UL43,
,,,,,宁波梅山保税港区金湛张飞商务服务部,,MA2J79KT-5,92330206MA2J79KT5D,
,,,,,宁波梅山保税港区金湛吕雪英商务服务部,,MA2KNMC9-4,92330206MA2KNMC94E,
,,,,,宁波浩翔物业管理有限公司,,MA2816FN-3,91330206MA2816FN3H,
,,,,,宁波经济技术开发区雷斌文化传媒有限公司,,59945814-8,91330206599458148M,
,,,,,宁波茂业旅游发展有限公司,,MA2GQAFX-X,91330201MA2GQAFXXL,
,,,,,宁波梅山保税港区金湛郑春原商务服务部,,MA7C76U5-7,92330206MA7C76U575,
,,,,,宁波经济技术开发区金座文化传媒有限公司,,59539261-2,91330206595392612L,
,,,,,宁波梅山保税港区海根邓兴顺商务服务部,,MA2KPEBT-0,92330206MA2KPEBT03,
,,,,,宁波梅山保税港区金湛王旭强商务服务部,,MABUNPGG-0,92330206MABUNPGG0T,
,,,,,宁波梅山保税港区金湛一吴丽萍商务服务部,,MA7EK9YK-6,92330206MA7EK9YK69,
,,,,,宁波北仑铁鼠企业管理服务部,,MACPBFHG-1,92330206MACPBFHG1G,
,,,,,宁波梅山保税港区海根黄治岭商务服务部,,MA2KNLQY-5,92330206MA2KNLQY54,
,,,,,宁波甬运文化旅游发展有限公司,,MA2J5RED-4,91330206MA2J5RED4P,
,,,,,宁波梅山保税港区金湛钱忠商务服务部,,MA2KNPW1-4,92330206MA2KNPW14F,
,,,,,宁波辰润广告传媒有限公司,,MA7LDBL2-X,91330206MA7LDBL2XQ,
,,,,,宁波梅山保税港区海根巫耀宁商务服务部,,MA7C0GQW-1,92330206MA7C0GQW1B,
,,,,,宁波海弦文旅文化发展有限公司,,MA2CKCC9-3,91330206MA2CKCC934,
,,,,,宁波市北仑西捷图文制作中心,,MA2EKGYR-3,92330206MA2EKGYR3R,
,,,,,宁波梅山保税港区海根侯艳军商务服务部,,MA2KNQD0-8,92330206MA2KNQD08W,
,,,,,宁波北仑王哥棋牌室,,MA7CCF71-X,92330206MA7CCF71XB,
,,,,,宁波北仑爱冉宝文化发展有限公司,,31697620-2,91330206316976202Q,
,,,,,宁波霍纳文化传播有限公司,,MA2H7YBD-3,91330206MA2H7YBD3L,
,,,,,宁波梅山保税港区金湛施艳商务服务部,,MA2KN4WX-9,92330206MA2KN4WX9J,
,,,,,宁波大榭开发区凯颖饮品店,,MA2EQ3AP-1,92330201MA2EQ3AP1G,
,,,,,宁波梅山保税港区金湛王晓波商务服务部,,MA2J46GY-6,92330206MA2J46GY6N,
,,,,,宁波梅山保税港区金湛朱建康商务服务部,,MA7EWMCE-8,92330206MA7EWMCE8G,
,,,,,宁波梅山保税港区金湛董瑗商务服务部,,MA2KPHUG-3,92330206MA2KPHUG3J,
,,,,,宁波梅山保税港区金湛王凡凡商务服务部,,MA7F9Q16-9,92330206MA7F9Q1692,
,,,,,宁波夏绿蒂托管服务有限公司,,MA2KPNEA-9,91330206MA2KPNEA9C,
,,,,,宁波鸣瑄艺术特长培训有限公司,,MA2CL4KY-2,91330206MA2CL4KY2C,
,,,,,宁波中影文化传媒有限公司,,MA2GT6LY-1,91330201MA2GT6LY1X,
,,,,,宁波梅山保税港区海根陶庭柱商务服务部,,MA2KNMBA-6,92330206MA2KNMBA60,
,,,,,宁波祥鹏文化发展有限公司,,MA2CHWHN-8,91330201MA2CHWHN89,
,,,,,宁波梅山保税港区金湛杨金英商务服务部,,MA2J4WGK-2,92330206MA2J4WGK2X,
,,,,,宁波瑾轩文化传媒有限公司,,MA2CHLWK-9,91330201MA2CHLWK9X,
,,,,,宁波梅山保税港区金湛肖伟娟商务服务部,,MA2KN2FT-2,92330206MA2KN2FT2H,
,,,,,宁波梅山保税港区金湛郑恢复商务服务部,,MA2KN8L5-0,92330206MA2KN8L50D,
,,,,,宁波梅山保税港区海根谢龙通商务服务部,,MA2KPX59-0,92330206MA2KPX590U,
,,,,,宁波梅山保税港区金湛杨德斌商务服务部,,MA7EF921-X,92330206MA7EF921X0,
,,,,,宁波金灵王体育文化有限公司,,MA2H743J-X,91330206MA2H743JX1,
,,,,,宁波封策餐饮管理有限公司,,MA2J30GH-5,91330206MA2J30GH56,
,,,,,瑞雅（宁波）文化发展有限公司,,MA7G0CPH-5,91330206MA7G0CPH57,
,,,,,宁波海轩会展服务有限公司,,MAC7HTTC-X,91330206MAC7HTTCXX,
,,,,,宁波梅山保税港区尽良筹徐红商务服务部,,MA7F1TBT-5,92330206MA7F1TBT5K,
,,,,,宁波梅山保税港区金湛冯彩利商务服务部,,MA7EUJ2E-5,92330206MA7EUJ2E51,
,,,,,宁波朗博计量检测有限公司,,MA282C33-5,91330206MA282C3353,
,,,,,宁波梅山保税港区金湛刘伟民商务服务部,,MA7F72CL-5,92330206MA7F72CL54,
,,,,,宁波市北仑区新碶歆迪眼镜店,,MA2EKD8U-4,92330206MA2EKD8U4C,
,,,,,宁波梅山保税港区海根李春茹商务服务部,,MA2J5WR0-4,92330206MA2J5WR04B,
,,,,,宁波市北仑区柴桥鲁家餐饮管理服务部,,MA2AHAPL-0,92330206MA2AHAPL0E,
,,,,,宁波北仑拓湃设计服务部,,MAC4RB93-1,92330206MAC4RB9314,
,,,,,宁波梅山保税港区金湛金完强商务服务部,,MA2J77JQ-9,92330206MA2J77JQ9K,
,,,,,宁波梅山保税港区海根李乾坤通商务服务部,,MA2KNBNY-9,92330206MA2KNBNY94,
,,,,,宁波市北仑区梅山胡筱霞舞蹈工作室,,MA2AGKNX-8,92330206MA2AGKNX84,
,,,,,宁波梅山保税港区尽良筹冯炳婷商务服务部,,MA2J3HN2-3,92330206MA2J3HN23A,
,,,,,宁波识鹤国际贸易有限公司,,MA2GWX2J-8,91330201MA2GWX2J8N,
,,,,,宁波梅山保税港区海根吕斌商务服务部,,MA2KPC7U-8,92330206MA2KPC7U8P,
,,,,,宁波北仑云力商务服务部,,MA2GQ2BH-1,92330206MA2GQ2BH16,
,,,,,宁波市北仑区佳茂足浴店,,MACXB25L-8,92330206MACXB25L8P,
,,,,,慈溪市白沙路源兴丰服装辅料店,,MA2KPBWY-7,92330282MA2KPBWY7R,
,,,,,慈溪市周巷满金足浴店,,MA293LRC-2,92330282MA293LRC23,
,,,,,宁波杭州湾新区贵味饭店,,MABPYTGP-0,92330201MABPYTGP03,
,,,,,慈溪市浒山圣骑士台球室,,MA2AECH9-0,92330282MA2AECH90A,
,,,,,慈溪市膳彤餐饮店,,MA2GQK05-2,92330282MA2GQK052B,
,,,,,慈溪市胜山金达毛绒店,,MA2EHT7W-1,92330282MA2EHT7W1Y,
,,,,,慈溪市四个啊哥餐饮店,,MA2H67FX-3,92330282MA2H67FX3W,
,,,,,慈溪市周巷一木广告设计工作室,,MA2EHU35-8,92330282MA2EHU358D,
,,,,,慈溪市掌起阿波渔具店,,MA2EGN5M-5,92330282MA2EGN5M54,
,,,,,慈溪市天翔图文设计工作室,,MA2EJNF1-3,92330282MA2EJNF13H,
,,,,,垂柳文化传媒（宁波）有限责任公司,,MAD9C98T-7,91330201MAD9C98T7K,
,,,,,慈溪市鑫来餐饮店,,MA2KN2X4-2,92330282MA2KN2X42C,
,,,,,慈溪鸿安鞋业发展有限公司,,69506947-6,91330282695069476W,
,,,,,慈溪诺瓦教育科技有限公司白沙分公司,,MA2KPUFF-5,91330282MA2KPUFF51,
,,,,,浙江万达旅游集团有限公司慈溪分公司,,MA281MKN-9,91330282MA281MKN99,
,,,,,慈溪市坎墩小张家纺用品店,,MA2EK06B-0,92330282MA2EK06B08,
,,,,,慈溪市宗汉兴容棋牌室,,MA2EJGJG-2,92330282MA2EJGJG2K,
,,,,,慈溪市微尘汇咖啡厅,,MA2EH338-9,92330282MA2EH33896,
,,,,,慈溪鼎尚美轩文化创意有限公司观海卫分公司,,MA2H5GMC-5,91330282MA2H5GMC50,
,,,,,慈溪市法蒂玛文化创意工作室,,MA2EJYDK-6,92330282MA2EJYDK6U,
,,,,,慈溪市龙山永悦电器经营部,,MA2EJTCE-7,92330282MA2EJTCE77,
,,,,,慈溪市坎墩陈昌华化妆品店,,MA2EJAQ6-9,92330282MA2EJAQ69M,
,,,,,宁波杭州湾新区红专快餐店,,MA2ENBQ5-5,92330201MA2ENBQ554,
,,,,,慈溪市三北佳红文具店,,MA2AFT45-7,92330282MA2AFT457Y,
,,,,,慈溪市浒山金足阁足浴店,,MA2EK7TH-5,92330282MA2EK7TH52,
,,,,,慈溪市足舒缘足浴店,,MACML7UB-3,92330282MACML7UB33,
,,,,,慈溪大马力电影放映有限公司,,MA282F0T-7,91330282MA282F0T7P,
,,,,,慈溪市五号健身俱乐部（个体工商户）,,MAD47893-6,92330282MAD478936T,
,,,,,慈溪市观海卫陈隆餐馆,,MA2917PA-4,92330282MA2917PA4E,
,,,,,慈溪市澄天动漫设计工作室,,MABR9NNR-0,92330282MABR9NNR07,
,,,,,慈溪市协谦工艺品厂,,MA2AJ40J-X,91330282MA2AJ40JX5,
,,,,,慈溪市横河镇华梅照棉布店,,MA2EJ6KJ-6,92330282MA2EJ6KJ6F,
,,,,,宁波杭州湾新区珠英餐饮店,,MA2GUFM0-X,92330201MA2GUFM0X1,
,,,,,慈溪市龙山自方餐饮店,,MA2H8JAH-4,92330282MA2H8JAH46,
,,,,,慈溪市周巷海连饭店,,MA2EJLC8-6,92330282MA2EJLC86J,
,,,,,宁波妈咪宝婴童用品制造有限公司,,74497610-2,913302017449761022,
,,,,,慈溪市掌起小徐餐饮店,,MA2H6BCF-8,92330282MA2H6BCF8R,
,,,,,宁波市梅高梅文化传媒有限公司,,MACN77KH-3,91330282MACN77KH3W,
,,,,,慈溪市古塘阿珊工艺品店,,MA2EJKG3-8,92330282MA2EJKG383,
,,,,,宁波琼玖商贸有限公司,,MACDJY8E-2,91330282MACDJY8E2C,
,,,,,慈溪市胜山镇志育青春照相馆,,MA283W6P-4,92330282MA283W6P40,
,,,,,浙江唐越青瓷有限公司,,MA2GT9ER-8,91330282MA2GT9ER8C,
,,,,,慈溪市梦燕来足浴店,,MA2H8GP6-1,92330282MA2H8GP61W,
,,,,,慈溪市坎墩新华棉布店,,MA2EHPJR-6,92330282MA2EHPJR64,
,,,,,慈溪市佳德艺术品有限公司,,07147565-2,91330282071475652X,
,,,,,慈溪市浒山胜耀修脚店,,MABY6THG-9,92330282MABY6THG90,
,,,,,慈溪市溪舍装饰设计有限公司,,MA2J74J4-0,91330282MA2J74J40J,
,,,,,慈溪市陆小鹿甜心舞蹈培训有限公司,,MA2H5HEX-9,91330282MA2H5HEX9D,
,,,,,慈溪颖诺化妆品店,,MA2J6P10-5,92330282MA2J6P105U,
,,,,,慈溪市驿心餐饮店,,MAD0B08E-6,92330282MAD0B08E6B,
,,,,,慈溪市坎墩洁净浴室,,MA2EK7YQ-0,92330282MA2EK7YQ0G,
,,,,,宁波前湾新区和气棋牌室,,MACYKAQU-7,92330201MACYKAQU7R,
,,,,,慈溪市天润广告有限公司,,76451500-4,913302827645150041,
,,,,,慈溪市附海中新客房部,,MA2EH7GD-3,92330282MA2EH7GD3F,
,,,,,慈溪市附海御足苑足浴店,,MA2EJJQA-6,92330282MA2EJJQA6A,
,,,,,慈溪市范市六星家用电器店,,MA2EK32D-X,92330282MA2EK32DX3,
,,,,,宁波前湾新区春序餐饮店,,MACPLJ2D-7,92330201MACPLJ2D7X,
,,,,,慈溪市伟财饭店,,MA2EJGUH-0,92330282MA2EJGUH0H,
,,,,,慈溪市匡堰镇热浪太阳能热水器店,,MA2EJ85R-1,92330282MA2EJ85R16,
,,,,,慈溪市逍林阿峰排档,,MA2EJJ7J-9,92330282MA2EJJ7J9B,
,,,,,慈溪市禾言广告设计工作室,,MA2AJ228-7,92330282MA2AJ2287G,
,,,,,慈溪市浒山小琦足浴店,,MACRCY7L-8,92330282MACRCY7L8W,
,,,,,慈溪市坎墩伟义挖掘机租赁服务部,,MA2CKXD1-1,92330282MA2CKXD115,
,,,,,慈溪市胜山利超家纺店,,MA2918BE-0,92330282MA2918BE09,
,,,,,慈溪市观海卫麻继烤鱼店,,MA2CLGQC-3,92330282MA2CLGQC3Y,
,,,,,宁波翠品楼餐饮有限公司,,MAC39LBY-6,91330282MAC39LBY6J,
,,,,,慈溪市祁茗陶瓷工作室,,MA2J5MDT-5,92330282MA2J5MDT5L,
,,,,,慈溪市逍林孙记川菜馆,,MA2EHH8U-9,92330282MA2EHH8U9B,
,,,,,慈溪市三北浩燕绣品厂（普通合伙）,,76850835-4,91330282768508354X,
,,,,,慈溪市梓悦文化传播有限公司,,MA2KPMPG-5,91330282MA2KPMPG54,
,,,,,慈溪市宸灵艺术特长培训有限公司,,MA2H5UQA-2,91330282MA2H5UQA25,
,,,,,瑞幸咖啡（宁波）有限公司观海卫第二分店,,MACN59P6-X,91330282MACN59P6XP,
,,,,,宁波寻鼎文化传媒有限公司,,MA2KPUF9-6,91330282MA2KPUF96X,
,,,,,龙海市华达运输有限公司慈溪分公司,,MA2GFAFW-1,91330282MA2GFAFW1H,
,,,,,宁波赛客运动器材有限公司,,07920193-9,91330282079201939U,
,,,,,宁波贝驰贸易有限公司,,MAD2ANTL-6,91330282MAD2ANTL67,
,,,,,慈溪市玉宸文化传媒有限公司,,MAD58L25-X,91330282MAD58L25XG,
,,,,,宁波绿萝儿童用品有限公司,,MABYNY8Q-X,91330282MABYNY8QXY,
,,,,,宁波滋威食品有限公司慈溪智谷店,,MA7CD8GQ-8,91330282MA7CD8GQ8F,
,,,,,宁波逸侠彤电子有限公司,,MA2GQ580-1,91330282MA2GQ5801E,
,,,,,慈溪市桥头浩泽电脑绣花厂,,MA2EJMYA-5,92330282MA2EJMYA5Y,
,,,,,宁波前湾新区呀蜜餐饮店,,MACU6R19-2,92330201MACU6R1925,
,,,,,宁波贝值贸易有限公司,,MA292E31-5,91330282MA292E3154,
,,,,,慈溪市浒山菊雅美容店,,MA2H8JWE-X,92330282MA2H8JWEXN,
,,,,,宁波前湾新区添财餐饮店,,MAD1YXEU-1,92330201MAD1YXEU18,
,,,,,宁波前湾新区瑞霞晨饭店（个体工商户）,,MAD97XRE-3,92330201MAD97XRE32,
,,,,,慈溪市悦生电子商务经营部,,MA2J584F-5,92330282MA2J584F58,
,,,,,慈溪市掌起客聚轩宾馆,,MA2EGPUN-8,92330282MA2EGPUN8J,
,,,,,慈溪市浒山晓刘足浴店,,MA2GTNU9-0,92330282MA2GTNU90P,
,,,,,中国邮政集团有限公司浙江省慈溪市剑山报刊亭,,06661811-0,91330282066618110G,
,,,,,慈溪市天祈娱乐有限公司,,MAD698HX-5,91330282MAD698HX5P,
,,,,,宁波熙斯健身服务有限公司,,MAC3AENG-1,91330201MAC3AENG15,
,,,,,宁波杭州湾新区洪森杰克文化传媒有限公司,,59948053-X,9133020159948053XH,
,,,,,慈溪市龙山阳阳面馆,,MA2J3C8Q-0,92330282MA2J3C8Q06,
,,,,,宁波斐然装饰设计有限公司,,MA2GWNG4-7,91330282MA2GWNG47C,
,,,,,慈溪市宗汉王治英奶茶店,,MA2J5YGW-1,92330282MA2J5YGW1C,
,,,,,慈溪市横河呈祥文具用品店,,MA2EHRPB-9,92330282MA2EHRPB9R,
,,,,,慈溪市宝真眼镜店,,MA2934HA-6,92330282MA2934HA6C,
,,,,,慈溪市浒山潘记钟表行,,MA2CLL70-8,92330282MA2CLL708E,
,,,,,慈溪市掌起香龙奶茶店,,MA7M58HJ-2,92330282MA7M58HJ2J,
,,,,,宁波杭州湾新区鸣山广告设计工作室,,MA2J40NK-X,92330201MA2J40NKX1,
,,,,,高瞻商业管理（宁波）有限公司,,MABU14C7-4,91330201MABU14C746,
,,,,,宁波亿丰叉车租赁服务有限公司,,MA7MG4DQ-3,91330282MA7MG4DQ3G,
,,,,,宁波杭州湾新区黑泷堂饮品店,,MA2AH4LY-5,92330201MA2AH4LY5K,
,,,,,宁波景墨园林工程有限公司,,MA2AJCF7-9,91330281MA2AJCF79C,
,,,,,慈溪市逍林鸿立电脑绣花厂,,MA2EJ332-0,92330282MA2EJ3320U,
,,,,,宁波杭州湾新区海草洗涤有限公司,,MA2CHCEF-9,91330201MA2CHCEF9G,
,,,,,慈溪市龙山乾宏棋牌室,,MA2EK3UJ-7,92330282MA2EK3UJ72,
,,,,,宁波杭州湾新区酷亮眼镜店,,MA2EN7DW-2,92330201MA2EN7DW27,
,,,,,宁波爱焱儿童用品有限公司,,MA2AJUMQ-8,91330282MA2AJUMQ8P,
,,,,,慈溪市浒山芝咪餐饮店,,MA2AH0PM-1,92330282MA2AH0PM1C,
,,,,,慈溪市浒山臻牛餐饮店,,MABQ513J-5,92330282MABQ513J5A,
,,,,,慈溪市古塘洁寐家纺店,,MACYT3MN-4,92330282MACYT3MN48,
,,,,,慈溪市五和饭店,,MA2GWCA9-X,92330282MA2GWCA9X8,
,,,,,慈溪市附海艾萍首饰店,,MACN8R3M-6,92330282MACN8R3M66,
,,,,,慈溪市博盛礼品商行,,MA2EK43C-0,92330282MA2EK43C05,
,,,,,慈溪市浒山晓康足浴店,,MA28361X-7,92330282MA28361X74,
,,,,,宁波前湾新区杰博帐篷租赁服务部,,MACPDP6W-0,92330201MACPDP6W0C,
,,,,,慈溪市浒山鑫翠缘珠宝店,,MA2915Y7-1,92330282MA2915Y71B,
,,,,,慈溪市行建汽车服务有限公司,,MA2839E3-2,91330282MA2839E32C,
,,,,,慈溪市庵东龙祥珠宝商行,,MA2EN7AW-3,92330201MA2EN7AW39,
,,,,,慈溪市福包餐饮店,,MA2AF3A5-4,92330282MA2AF3A54H,
,,,,,慈溪市慧成广告设计工作室,,MABQ2RF4-3,92330282MABQ2RF430,
