main_identi_id,reg_org,comp_type,reg_state,uni_social_crd_cd,comp_nm,addr,legal_repre,indv_id,reg_capt,capt_kind,opt_scop,reg_no,appr_dt,est_dt,opt_from,opt_to,domdi_strict,pro_loc,opt_strict,postal_code,opt_loc,indv_code,indv_nm
330206MA2EKW8278,宁波市北仑区市场监督管理局,个体工商户,注销,92330206MA2EKW8278,宁波市北仑区新矸金帆文百商店,北仑区新碶街道东河路游泳池边,孙丽林,文具用品零售,0.0,,文化文具、体育用品、百货零售。,330206MA2EKW8278,2000-01-01,2000-01-01,2000-01-01,2099-12-31,330206001,北仑区,330206001,315800,北仑区,5241.0,5241.0
330206MA2GT3XNX2,宁波市北仑区市场监督管理局,有限责任公司（自然人投资或控股）,注销,91330206MA2GT3XNX2,妙乐（宁波）文化创意有限公司,浙江省宁波市北仑区新碶街道辽河路588号（隆顺家园）14幢辽河路580号202室,金棋,其他文化艺术业,5000000.0,人民币,"文化创意活动的策划;文学、美术创作与表演艺术;电影发行;经营演出经纪业务;动画制作;软件开发;文化艺术交流活动组织、策划;展览展示服务;影视策划咨询;经济贸易信息咨询;影视传媒的技术开发;礼仪服务;市场营销策划;企业形象策划;摄影摄像服务;广告制作、设计、发布、代理;舞台灯光音响设计;电脑图文设计、制作;舞台艺术造型策划;舞台设备租赁;会务服务;摄影器材、广告材料的批发、零售。（依法须经批准的项目,经相关部门批准后方可开展经营活动）",330206MA2GT3XNX2,2019-07-31,2019-07-31,2019-07-31,2099-12-31,330206001,北仑区,330206001,315800,北仑区,8890.0,8890.0
330206MA7JRX6D9D,宁波市北仑区市场监督管理局,个体工商户,存续,92330206MA7JRX6D9D,宁波北仑小零广告策划部,浙江省宁波市北仑区霞浦街道长江南路1号（蓝海资源配置中心）3幢1109号,许杏春,其他广告服务,100000.0,人民币,一般项目：广告设计、代理；广告制作；日用杂品销售（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。,330206MA7JRX6D9D,2022-03-11,2022-03-11,2022-03-11,2099-12-31,330206001,北仑区,330206001,315800,北仑区,7259.0,7259.0
330206MA2AHNYG2Y,宁波市北仑区市场监督管理局,个体工商户,存续,92330206MA2AHNYG2Y,宁波市北仑区灵灵舞蹈工作室,浙江省宁波市北仑区新碶街道明州路11号1幢（2-2）号-1二楼,干丽娜,其他文化艺术业,0.0,,一般项目：健身休闲活动；教育咨询服务（不含涉许可审批的教育培训活动）；娱乐性展览；文艺创作；会议及展览服务；组织文化艺术交流活动；健康咨询服务（不含诊疗服务）；市场营销策划；企业形象策划；体育用品及器材零售；婚庆礼仪服务；礼仪服务（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。许可项目：营业性演出（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）。,330206MA2AHNYG2Y,2018-03-23,2018-03-23,2018-03-23,2099-12-31,330206001,北仑区,330206001,315800,北仑区,8890.0,8890.0
330206MA2J65K60L,宁波市北仑区市场监督管理局,个体工商户,存续,92330206MA2J65K60L,宁波梅山保税港区金湛刘斐菲商务服务部,浙江省宁波市北仑区梅山街道梅山七星路88号5幢D302室-1970（集群注册）,刘斐菲,其他未列明商务服务业,10000.0,人民币,"一般项目:劳务服务（不含劳务派遣）（除依法须经批准的项目外,凭营业执照依法自主开展经营活动）。",330206MA2J65K60L,2021-04-13,2021-04-13,2021-04-13,2099-12-31,330206001,北仑区,330206001,315800,北仑区,7299.0,7299.0
330206MACU3HY569,宁波市北仑区市场监督管理局,个体工商户,注销,92330206MACU3HY569,宁波北仑宏祺设计工作室,浙江省宁波市北仑区新碶街道新大路367号1幢734室-2,华建平,专业设计服务,50000.0,人民币,一般项目：平面设计；工业设计服务；数字内容制作服务（不含出版发行）；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；广告设计、代理；软件开发；图文设计制作；广告制作；广告发布；专业设计服务；会议及展览服务；组织文化艺术交流活动；数字文化创意内容应用服务；工艺美术品及收藏品批发（象牙及其制品除外）；工艺美术品及收藏品零售（象牙及其制品除外）；工艺美术品及礼仪用品销售（象牙及其制品除外）；市场营销策划；物联网技术服务；玩具销售；化妆品批发；化妆品零售（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。,330206MACU3HY569,2023-09-05,2023-09-05,2023-09-05,2099-12-31,330206001,北仑区,330206001,315800,北仑区,7492.0,7492.0
330206MA2KQHEG7W,宁波市北仑区市场监督管理局,个体工商户,存续,92330206MA2KQHEG7W,宁波市北仑区方祝足浴店,浙江省宁波市北仑区春晓街道春晓街道观海路211号6幢1号60-21,方玉祝,其他娱乐业,80000.0,人民币,"许可项目:足浴服务（依法须经批准的项目,经相关部门批准后方可开展经营活动,具体经营项目以审批结果为准）。",330206MA2KQHEG7W,2023-07-21,2023-07-21,2023-07-21,2099-12-31,330206001,北仑区,330206001,315800,北仑区,9090.0,9090.0
330206MA7DYXCH2P,宁波市北仑区市场监督管理局,个体工商户,存续,92330206MA7DYXCH2P,宁波梅山保税港区尽良筹郭从力商务服务部,浙江省宁波市北仑区梅山街道梅山七星路88号6幢C202室-4808（集群注册）,郭从力,其他未列明商务服务业,10000.0,人民币,"一般项目:劳务服务（不含劳务派遣）（除依法须经批准的项目外,凭营业执照依法自主开展经营活动）。",330206MA7DYXCH2P,2021-12-13,2021-12-13,2021-12-13,2099-12-31,330206001,北仑区,330206001,315800,北仑区,7299.0,7299.0
330206MA7C3HP960,宁波市北仑区市场监督管理局,个体工商户,存续,92330206MA7C3HP960,宁波梅山保税港区海根张涛多商务服务部,浙江省宁波市北仑区梅山街道梅山七星路88号6幢C201室-111707（集群注册）,张涛,其他未列明商务服务业,10000.0,人民币,"一般项目:劳务服务（不含劳务派遣）;外卖递送服务（除依法须经批准的项目外,凭营业执照依法自主开展经营活动）。",330206MA7C3HP960,2021-10-14,2021-10-14,2021-10-14,2099-12-31,330206001,北仑区,330206001,315800,北仑区,7299.0,7299.0
330206MA7BJN2GXW,宁波市北仑区市场监督管理局,个体工商户,存续,92330206MA7BJN2GXW,宁波梅山保税港区海根朱亚洲高商务服务部,浙江省宁波市北仑区梅山街道梅山七星路88号6幢C201室-113487（集群注册）,朱亚洲,其他未列明商务服务业,10000.0,人民币,"一般项目:劳务服务（不含劳务派遣）;外卖递送服务（除依法须经批准的项目外,凭营业执照依法自主开展经营活动）。",330206MA7BJN2GXW,2021-11-04,2021-11-04,2021-11-04,2099-12-31,330206001,北仑区,330206001,315800,北仑区,7299.0,7299.0
330206MA2H6DEL5D,宁波市北仑区市场监督管理局,个体工商户,存续,92330206MA2H6DEL5D,宁波市北仑区众甫文化创意工作室,浙江省宁波市北仑区大碶街道宁穿路88号4幢2号404室,俞丽萍,其他文化艺术业,0.0,,"一般项目:广告制作;摄像及视频制作服务;广告发布（非广播电台、电视台、报刊出版单位）;企业形象策划;企业管理;咨询策划服务;礼仪服务;组织文化艺术交流活动;租借道具活动;平面设计;广告设计、代理（除依法须经批准的项目外,凭营业执照依法自主开展经营活动）。",330206MA2H6DEL5D,2020-06-17,2020-06-17,2020-06-17,2099-12-31,330206001,北仑区,330206001,315800,北仑区,8890.0,8890.0
330206MA2AFJR642,宁波市北仑区市场监督管理局,个体工商户,存续,92330206MA2AFJR642,宁波市北仑区小港康春餐馆,浙江省宁波市北仑区小港街道振兴东路250号1幢250号一层-1,康双,正餐服务,0.0,,"一般项目:小餐饮店（三小行业,含网络经营）;小食杂店（三小行业,含网络经营）（除依法须经批准的项目外,凭营业执照依法自主开展经营活动）。",330206MA2AFJR642,2017-11-13,2017-11-13,2017-11-13,2099-12-31,330206001,北仑区,330206001,315800,北仑区,6210.0,6210.0
330206MACRTUTH77,宁波市北仑区市场监督管理局,个体工商户,存续,92330206MACRTUTH77,宁波梅山保税港区海根王某萍海商务服务部,浙江省宁波市北仑区梅山街道梅山七星路88号6幢C201室-119601（集群注册）,王永萍,其他未列明商务服务业,10000.0,人民币,"一般项目:劳务服务（不含劳务派遣）（除依法须经批准的项目外,凭营业执照依法自主开展经营活动）。",330206MACRTUTH77,2023-07-25,2023-07-25,2023-07-25,2099-12-31,330206001,北仑区,330206001,315800,北仑区,7299.0,7299.0
330206MA2CMHXQ0E,宁波市北仑区市场监督管理局,有限责任公司（自然人独资）,存续,91330206MA2CMHXQ0E,宁波市北仑区奇奕棋类培训有限公司,浙江省宁波市北仑区新碶街道中河路182号1幢408室,何旭东,文化艺术培训,300000.0,人民币,棋类培训，文化用品的批发、零售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,330206MA2CMHXQ0E,2019-03-19,2019-03-19,2019-03-19,2099-12-31,330206001,北仑区,330206001,315800,北仑区,8393.0,8393.0
330206MA7CJ3XN0U,宁波市北仑区市场监督管理局,个体工商户,存续,92330206MA7CJ3XN0U,宁波梅山保税港区海根孙正权商务服务部,浙江省宁波市北仑区梅山街道梅山七星路88号6幢C201室-113424（集群注册）,孙正权,其他未列明商务服务业,10000.0,人民币,"一般项目:劳务服务（不含劳务派遣）;外卖递送服务（除依法须经批准的项目外,凭营业执照依法自主开展经营活动）。",330206MA7CJ3XN0U,2021-11-04,2021-11-04,2021-11-04,2099-12-31,330206001,北仑区,330206001,315800,北仑区,7299.0,7299.0
330206MA2903XX7N,宁波市北仑区市场监督管理局,个体工商户,存续,92330206MA2903XX7N,宁波市北仑区大碶旭升字牌厂,浙江省宁波市北仑区春晓街道听海路662号3幢2号1楼-7,谢旭波,金属工艺品制造,0.0,,铜字铜牌、发光字、霓虹灯、广告牌加工、制作。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,330206MA2903XX7N,2007-07-18,2007-07-18,2007-07-18,2099-12-31,330206001,北仑区,330206001,315800,北仑区,2432.0,2432.0
330206MA2EL40174,宁波市北仑区市场监督管理局,个体工商户,存续,92330206MA2EL40174,宁波市北仑区新碶威舜图文设计服务部,北仑区新碶高凤路553号1幢553号二楼,王威舜,其他广告服务,0.0,,图文、广告的设计、制作。,330206MA2EL40174,2015-08-13,2015-08-13,2015-08-13,2099-12-31,330206001,北仑区,330206001,315800,北仑区,7259.0,7259.0
330206567007705F,宁波市北仑区市场监督管理局,有限责任公司（自然人投资或控股）,吊销,91330206567007705F,宁波北仑锦秀恒源文化传播有限公司,北仑区新碶星中路2号621室,毛勇兵,其他未列明商务服务业,200000.0,人民币,"文化艺术活动策划,广告的制作、设计、发布。",330206567007705F,2010-12-23,2010-12-23,2010-12-23,2099-12-31,330206001,北仑区,330206001,315800,北仑区,7299.0,7299.0
330206MA2GRR495G,宁波市北仑区市场监督管理局,个体工商户,存续,92330206MA2GRR495G,宁波市北仑区柴桥茂定足浴店,浙江省宁波市北仑区柴桥街道薪桥北路475号,竺茂定,足浴服务,0.0,,"足浴服务。（依法须经批准的项目,经相关部门批准后方可开展经营活动）",330206MA2GRR495G,2019-07-12,2019-07-12,2019-07-12,2099-12-31,330206001,北仑区,330206001,315800,北仑区,8052.0,8052.0
330206MA2J6JJC16,宁波市北仑区市场监督管理局,个体工商户,存续,92330206MA2J6JJC16,宁波梅山保税港区金湛朱长云商务服务部,浙江省宁波市北仑区梅山街道梅山七星路88号5幢D302室-1965（集群注册）,朱长云,其他未列明商务服务业,10000.0,人民币,"一般项目:劳务服务（不含劳务派遣）（除依法须经批准的项目外,凭营业执照依法自主开展经营活动）。",330206MA2J6JJC16,2021-04-28,2021-04-28,2021-04-28,2099-12-31,330206001,北仑区,330206001,315800,北仑区,7299.0,7299.0
330206MA7BBXL119,宁波市北仑区市场监督管理局,个体工商户,存续,92330206MA7BBXL119,宁波梅山保税港区海根孔某坡商务服务部,浙江省宁波市北仑区梅山街道梅山七星路88号6幢C201室-113015（集群注册）,孔东坡,其他未列明商务服务业,10000.0,人民币,"一般项目:劳务服务（不含劳务派遣）;外卖递送服务（除依法须经批准的项目外,凭营业执照依法自主开展经营活动）。",330206MA7BBXL119,2021-10-29,2021-10-29,2021-10-29,2099-12-31,330206001,北仑区,330206001,315800,北仑区,7299.0,7299.0
330206MA2J48WJ0D,宁波市北仑区市场监督管理局,有限责任公司（自然人投资或控股）,存续,91330206MA2J48WJ0D,宁波意冠餐饮管理有限公司,浙江省宁波市北仑区梅山街道梅港村南汇陈家东80号二层-2,陈旭华,咖啡馆服务,1000000.0,人民币,一般项目：餐饮管理；单位后勤管理服务；商业综合体管理服务；卫生用品和一次性使用医疗用品销售；日用品销售；服装辅料销售；食品用洗涤剂销售；日用化学产品销售；日用木制品销售；品牌管理；日用杂品销售；劳动保护用品销售；商务代理代办服务；日用玻璃制品销售（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。,330206MA2J48WJ0D,2020-12-31,2020-12-31,2020-12-31,2099-12-31,330206001,北仑区,330206001,315800,北仑区,6232.0,6232.0
330206MA2AHWN571,宁波市北仑区市场监督管理局,个体工商户,存续,92330206MA2AHWN571,宁波市北仑区龙君产品设计工作室,浙江省宁波市北仑区霞浦街道陈华村周家祠71号-1,胡丽春,专业设计服务,0.0,,"一般项目:工业设计服务;专业设计服务;办公设备销售;金属结构销售;模具销售;五金产品零售;汽车零配件零售;通信设备销售;有色金属合金销售;机械设备销售（除依法须经批准的项目外,凭营业执照依法自主开展经营活动）。",330206MA2AHWN571,2018-04-02,2018-04-02,2018-04-02,2099-12-31,330206001,北仑区,330206001,315800,北仑区,7492.0,7492.0
330206MA2KP1059W,宁波市北仑区市场监督管理局,个体工商户,存续,92330206MA2KP1059W,宁波梅山保税港区海根谭伟法商务服务部,浙江省宁波市北仑区梅山街道梅山七星路88号6幢C201室-109548（集群注册）,谭伟法,其他未列明商务服务业,10000.0,人民币,"一般项目:劳务服务（不含劳务派遣）;外卖递送服务（除依法须经批准的项目外,凭营业执照依法自主开展经营活动）。",330206MA2KP1059W,2021-08-23,2021-08-23,2021-08-23,2099-12-31,330206001,北仑区,330206001,315800,北仑区,7299.0,7299.0
330206MACYH2796M,宁波市北仑区市场监督管理局,有限责任公司（自然人投资或控股）,存续,91330206MACYH2796M,宁波不凡创意设计有限公司,浙江省宁波保税区兴业一路5号1幢7楼701室（甬保市场公司托管T342号）,吕诚,专业设计服务,50000.0,人民币,一般项目：专业设计服务；平面设计；数字内容制作服务（不含出版发行）；数字文化创意内容应用服务；广告设计、代理；广告制作；工业设计服务；办公服务；工程技术服务（规划管理、勘察、设计、监理除外）；规划设计管理；图文设计制作；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。,330206MACYH2796M,2023-09-20,2023-09-20,2023-09-20,2099-12-31,330206001,北仑区,330206001,315800,北仑区,7492.0,7492.0
330206MA7DKA5T7A,宁波市北仑区市场监督管理局,个体工商户,存续,92330206MA7DKA5T7A,宁波梅山保税港区金湛张哲商务服务部,浙江省宁波市北仑区梅山街道梅山七星路88号5幢D302室-12381（集群注册）,张哲,其他未列明商务服务业,10000.0,人民币,"一般项目:劳务服务（不含劳务派遣）（除依法须经批准的项目外,凭营业执照依法自主开展经营活动）。",330206MA7DKA5T7A,2021-12-17,2021-12-17,2021-12-17,2099-12-31,330206001,北仑区,330206001,315800,北仑区,7299.0,7299.0
330206MA2EKKKK8A,宁波市北仑区市场监督管理局,个体工商户,注销,92330206MA2EKKKK8A,宁波经济技术开发区吴佩琴毛线店,北仑区戚家山街道东海路202巷32号14幢,叶小良,纺织品及针织品零售,0.0,,一般经营项目：毛线、服装零售。,330206MA2EKKKK8A,2011-07-13,2011-07-13,2011-07-13,2099-12-31,330206001,北仑区,330206001,315800,北仑区,5231.0,5231.0
330206MA2J62J90C,宁波市北仑区市场监督管理局,个体工商户,存续,92330206MA2J62J90C,宁波梅山保税港区海根时小珍商务服务部,浙江省宁波市北仑区梅山街道梅山七星路88号6幢C201室-100901（集群注册）,时小珍,其他未列明商务服务业,0.0,,"一般项目:劳务服务（不含劳务派遣）（除依法须经批准的项目外,凭营业执照依法自主开展经营活动）。",330206MA2J62J90C,2021-04-09,2021-04-09,2021-04-09,2099-12-31,330206001,北仑区,330206001,315800,北仑区,7299.0,7299.0
330206MA2J75800P,宁波市北仑区市场监督管理局,个体工商户,存续,92330206MA2J75800P,宁波梅山保税港区金湛章飞翠商务服务部,浙江省宁波市北仑区梅山街道梅山七星路88号5幢D302室-3751（集群注册）,章飞翠,其他未列明商务服务业,10000.0,人民币,"一般项目:劳务服务（不含劳务派遣）（除依法须经批准的项目外,凭营业执照依法自主开展经营活动）。",330206MA2J75800P,2021-05-26,2021-05-26,2021-05-26,2099-12-31,330206001,北仑区,330206001,315800,北仑区,7299.0,7299.0
330206MA2KNLD989,宁波市北仑区市场监督管理局,个体工商户,存续,92330206MA2KNLD989,宁波梅山保税港区海根汪斌商务服务部,浙江省宁波市北仑区梅山街道梅山七星路88号6幢C201室-105984（集群注册）,汪斌,其他未列明商务服务业,10000.0,人民币,"一般项目:劳务服务（不含劳务派遣）;外卖递送服务（除依法须经批准的项目外,凭营业执照依法自主开展经营活动）。",330206MA2KNLD989,2021-08-09,2021-08-09,2021-08-09,2099-12-31,330206001,北仑区,330206001,315800,北仑区,7299.0,7299.0
330206MA7EFP8L5G,宁波市北仑区市场监督管理局,个体工商户,存续,92330206MA7EFP8L5G,宁波梅山保税港区金湛陈珊一商务服务部,浙江省宁波市北仑区梅山街道梅山七星路88号5幢D302室-12131（集群注册）,陈珊,其他未列明商务服务业,10000.0,人民币,"一般项目:劳务服务（不含劳务派遣）（除依法须经批准的项目外,凭营业执照依法自主开展经营活动）。",330206MA7EFP8L5G,2021-12-14,2021-12-14,2021-12-14,2099-12-31,330206001,北仑区,330206001,315800,北仑区,7299.0,7299.0
330206MA7E0E0A2A,宁波市北仑区市场监督管理局,个体工商户,存续,92330206MA7E0E0A2A,宁波梅山保税港区海根赵闪闪商务服务部,浙江省宁波市北仑区梅山街道梅山七星路88号6幢C201室-113943（集群注册）,赵闪闪,其他未列明商务服务业,10000.0,人民币,"一般项目:劳务服务（不含劳务派遣）（除依法须经批准的项目外,凭营业执照依法自主开展经营活动）。",330206MA7E0E0A2A,2021-11-25,2021-11-25,2021-11-25,2099-12-31,330206001,北仑区,330206001,315800,北仑区,7299.0,7299.0
330201MA2J70W505,宁波市北仑区市场监督管理局,有限责任公司（外商投资企业法人独资）,存续,91330201MA2J70W505,宁波大榭开发区益科餐饮管理有限公司,浙江省宁波市大榭开发区碧海华庭10幢一楼L1-003号商铺,曹继善,其他综合管理服务,100000.0,人民币,一般项目：餐饮管理；市场营销策划；机械设备租赁；食用农产品批发；食用农产品零售；文具用品批发；文具用品零售；日用品批发；日用品销售；工艺美术品及收藏品批发（象牙及其制品除外）；工艺美术品及收藏品零售（象牙及其制品除外）；工艺美术品及礼仪用品销售（象牙及其制品除外）；箱包销售；电子产品销售；食品添加剂销售；服装服饰批发；服装服饰零售；珠宝首饰批发；珠宝首饰零售；家居用品销售（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。许可项目：餐饮服务（不产生油烟、异味、废气）；食品经营（销售预包装食品）（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）。,330201MA2J70W505,2021-05-19,2021-05-19,2021-05-19,2099-12-31,330206001,北仑区,330206001,315800,北仑区,7229.0,7229.0
330206MA7FN87G66,宁波市北仑区市场监督管理局,个体工商户,存续,92330206MA7FN87G66,宁波梅山保税港区金湛叶芳芳二商务服务部,浙江省宁波市北仑区梅山街道梅山七星路88号5幢D302室-14479（集群注册）,叶芳芳,其他未列明商务服务业,10000.0,人民币,"一般项目:劳务服务（不含劳务派遣）（除依法须经批准的项目外,凭营业执照依法自主开展经营活动）。",330206MA7FN87G66,2021-12-28,2021-12-28,2021-12-28,2099-12-31,330206001,北仑区,330206001,315800,北仑区,7299.0,7299.0
330206MA7EWWUPXJ,宁波市北仑区市场监督管理局,个体工商户,存续,92330206MA7EWWUPXJ,宁波梅山保税港区金湛申一佳商务服务部,浙江省宁波市北仑区梅山街道梅山七星路88号5幢D302室-15366（集群注册）,申佳,其他未列明商务服务业,10000.0,人民币,"一般项目:劳务服务（不含劳务派遣）（除依法须经批准的项目外,凭营业执照依法自主开展经营活动）。",330206MA7EWWUPXJ,2021-12-27,2021-12-27,2021-12-27,2099-12-31,330206001,北仑区,330206001,315800,北仑区,7299.0,7299.0
330206MA2J6WE31E,宁波市北仑区市场监督管理局,个体工商户,存续,92330206MA2J6WE31E,宁波梅山保税港区金湛丁行飞商务服务部,浙江省宁波市北仑区梅山街道梅山七星路88号5幢D302室-3257（集群注册）,丁行飞,其他未列明商务服务业,10000.0,人民币,"一般项目:劳务服务（不含劳务派遣）（除依法须经批准的项目外,凭营业执照依法自主开展经营活动）。",330206MA2J6WE31E,2021-05-14,2021-05-14,2021-05-14,2099-12-31,330206001,北仑区,330206001,315800,北仑区,7299.0,7299.0
330206MA7FPYND5U,宁波市北仑区市场监督管理局,个体工商户,存续,92330206MA7FPYND5U,宁波梅山保税港区金湛王欣一商务服务部,浙江省宁波市北仑区梅山街道梅山七星路88号5幢D302室-15719（集群注册）,王欣,其他未列明商务服务业,10000.0,人民币,"一般项目:劳务服务（不含劳务派遣）（除依法须经批准的项目外,凭营业执照依法自主开展经营活动）。",330206MA7FPYND5U,2021-12-29,2021-12-29,2021-12-29,2099-12-31,330206001,北仑区,330206001,315800,北仑区,7299.0,7299.0
330206MA2J6QAF8W,宁波市北仑区市场监督管理局,个体工商户,存续,92330206MA2J6QAF8W,宁波梅山保税港区金湛施玮弟商务服务部,浙江省宁波市北仑区梅山街道梅山七星路88号5幢D302室-2733（集群注册）,施玮弟,其他未列明商务服务业,10000.0,人民币,"一般项目:劳务服务（不含劳务派遣）（除依法须经批准的项目外,凭营业执照依法自主开展经营活动）。",330206MA2J6QAF8W,2021-05-10,2021-05-10,2021-05-10,2099-12-31,330206001,北仑区,330206001,315800,北仑区,7299.0,7299.0
330206MA2J7T9H1R,宁波市北仑区市场监督管理局,个体工商户,存续,92330206MA2J7T9H1R,宁波梅山保税港区金湛王孝强商务服务部,浙江省宁波市北仑区梅山街道梅山七星路88号5幢D302室-4754（集群注册）,王孝强,其他未列明商务服务业,10000.0,人民币,"一般项目:劳务服务（不含劳务派遣）（除依法须经批准的项目外,凭营业执照依法自主开展经营活动）。",330206MA2J7T9H1R,2021-06-29,2021-06-29,2021-06-29,2099-12-31,330206001,北仑区,330206001,315800,北仑区,7299.0,7299.0
