inclu_dt,inclu_reason,uni_social_crd_cd,reg_no,redecorg_cn,remexcpres_cn,remove_dt,decorg_cn,comp_nm
2015-11-10,通过登记的住所或者经营场所无法联系。,91330206MA8FUD7Q13,330206MA8FUD7Q13,北仑区,办理地址变更或恢复联系,2017-02-11,北仑区,宁波市北仑区芦江家电商店霞浦店
2024-02-23,未按照规定的期限公示年度报告。,91330283MA2H6L0D2K,330283MA2H6L0D2K,奉化区,补报年度报告,,奉化区,大爱书院香河酒店有限公司宁波分公司
2017-01-12,通过登记的住所或者经营场所无法联系。,913302833089209972,3302833089209972,奉化区,办理地址变更或恢复联系,2017-08-24,奉化区,宁波市奉化区雪窦山公共交通服务有限公司
2019-06-30,通过登记的住所或者经营场所无法联系。,91330212058266389T,330212058266389T,鄞州区,办理地址变更或恢复联系,2020-10-24,鄞州区,浙江易川体育用品连锁有限公司宁波鄞州分公司
2022-12-17,通过登记的住所或者经营场所无法联系。,91330206MA2CKCC934,330206MA2CKCC934,北仑区,办理地址变更或恢复联系,2024-01-17,北仑区,宁波海弦文旅文化发展有限公司
2023-12-12,公示企业信息隐瞒真实情况、弄虚作假。,913302017449761022,3302017449761022,慈溪市,更正公示信息,,慈溪市,宁波妈咪宝婴童用品制造有限公司
2023-12-09,未在责令期限内公示有关企业信息。,91330206MA2KPNEA9C,330206MA2KPNEA9C,北仑区,补公示企业信息,,北仑区,宁波夏绿蒂托管服务有限公司
2021-05-30,未按照规定的期限公示年度报告。,91330282MA2H5GMC50,330282MA2H5GMC50,慈溪市,补报年度报告,2021-12-12,慈溪市,慈溪鼎尚美轩文化创意有限公司观海卫分公司
2020-08-24,未在责令期限内公示有关企业信息。,9133020578432300X6,33020578432300X6,江北区,补公示企业信息,2021-03-07,江北区,浙江省电信实业集团有限公司宁波市分公司
2021-05-11,通过登记的住所或者经营场所无法联系。,91330226MA2CK2E99Q,330226MA2CK2E99Q,宁海县,办理地址变更或恢复联系,2021-12-24,宁海县,宁海县喜气洋洋艺术培训有限公司梅林分公司
2024-09-08,通过登记的住所或者经营场所无法联系。,91330212MAD64TA19E,330212MAD64TA19E,鄞州区,办理地址变更或恢复联系,,鄞州区,浙江舟山啡凡餐饮管理有限公司宁波分公司
2011-12-21,未在责令期限内公示有关企业信息。,92330282MA2EK32DX3,330282MA2EK32DX3,慈溪市,补公示企业信息,2012-10-07,慈溪市,慈溪市范市六星家用电器店
2020-02-24,未在责令期限内公示有关企业信息。,91330212MA2CKUF59M,330212MA2CKUF59M,鄞州区,补公示企业信息,2020-12-19,鄞州区,瑞幸咖啡（宁波）有限公司福明第一分店
2014-03-03,未在责令期限内公示有关企业信息。,91330282768508354X,330282768508354X,慈溪市,补公示企业信息,2015-05-15,慈溪市,慈溪市三北浩燕绣品厂（普通合伙）
2023-08-01,通过登记的住所或者经营场所无法联系。,91330282MACN59P6XP,330282MACN59P6XP,慈溪市,办理地址变更或恢复联系,,慈溪市,瑞幸咖啡（宁波）有限公司观海卫第二分店
2021-04-11,通过登记的住所或者经营场所无法联系。,91330282066618110G,330282066618110G,慈溪市,办理地址变更或恢复联系,2022-08-12,慈溪市,中国邮政集团有限公司浙江省慈溪市剑山报刊亭
2018-01-31,未按照规定的期限公示年度报告。,91330281MA282QERXW,330281MA282QERXW,余姚市,补报年度报告,2018-08-12,余姚市,余姚乡伴旅游发展有限公司
2021-06-16,未按照规定的期限公示年度报告。,91330200MA2CHJ575M,330200MA2CHJ575M,余姚市,补报年度报告,2022-09-26,余姚市,宁波吉风日用品有限公司
2018-01-21,通过登记的住所或者经营场所无法联系。,91330281MA8FXK8F34,330281MA8FXK8F34,余姚市,办理地址变更或恢复联系,2018-10-29,余姚市,浙江天天商旅国际旅行社有限公司余姚金茂商都门市部
2012-08-06,未在责令期限内公示有关企业信息。,9133028179602172XA,33028179602172XA,余姚市,补公示企业信息,2013-12-31,余姚市,杭州肯德基有限公司余姚泗门分店
2021-02-01,未在责令期限内公示有关企业信息。,91330281MA2CH37A9E,330281MA2CH37A9E,余姚市,补公示企业信息,2022-07-25,余姚市,余姚大世界国际旅行社有限公司方桥门市部
2008-06-11,未按照规定的期限公示年度报告。,91330281750375215G,330281750375215G,余姚市,补报年度报告,2009-09-13,余姚市,余姚市城区爱欣文化用品经营部
2011-03-25,通过登记的住所或者经营场所无法联系。,91330281MA8FXH5G4Q,330281MA8FXH5G4Q,余姚市,办理地址变更或恢复联系,2012-04-22,余姚市,余姚市公路运输有限公司站场经营分公司
2024-09-06,未按照规定的期限公示年度报告。,91330281MA8FWQAP9N,330281MA8FWQAP9N,余姚市,补报年度报告,,余姚市,余姚市民航售票处江南营业部
2016-11-13,未按照规定的期限公示年度报告。,91330203MA8FQL3542,330203MA8FQL3542,海曙区,补报年度报告,2017-09-01,海曙区,宁波市鄞州甬金工艺品厂（普通合伙）
2010-12-05,公示企业信息隐瞒真实情况、弄虚作假。,91330203MA2K8H965U,330203MA2K8H965U,海曙区,更正公示信息,2012-01-18,海曙区,宁波天一绿洲珠宝有限公司
2019-09-24,公示企业信息隐瞒真实情况、弄虚作假。,91330200MA2GFD539L,330200MA2GFD539L,海曙区,更正公示信息,2021-01-17,海曙区,浙江海内外商务旅游有限公司宁波柳汀门市部
2007-01-15,公示企业信息隐瞒真实情况、弄虚作假。,91330225732112577R,330225732112577R,象山县,更正公示信息,2007-12-03,象山县,象山滨海假日农庄
2024-02-17,未在责令期限内公示有关企业信息。,91330203MA2GU6LW0D,330203MA2GU6LW0D,海曙区,补公示企业信息,,海曙区,福建闪电行网络技术有限公司宁波分公司
2015-11-24,通过登记的住所或者经营场所无法联系。,91330200595380793Q,330200595380793Q,鄞州区,办理地址变更或恢复联系,2016-05-25,鄞州区,宁波数字传媒有限公司
2015-07-19,通过登记的住所或者经营场所无法联系。,91330212MA2GXWQ59P,330212MA2GXWQ59P,鄞州区,办理地址变更或恢复联系,2016-04-05,鄞州区,樱花卫厨（中国）股份有限公司宁波卫厨体验分公司
2011-10-25,通过登记的住所或者经营场所无法联系。,91330212MA2GXYKL73,330212MA2GXYKL73,鄞州区,办理地址变更或恢复联系,2013-04-14,鄞州区,宁波市小肥羊餐饮有限公司
2017-07-02,通过登记的住所或者经营场所无法联系。,91330212MA2936MP6M,330212MA2936MP6M,鄞州区,办理地址变更或恢复联系,2018-08-02,鄞州区,宁波市鄞州华亨足浴会所（普通合伙）
2018-10-23,公示企业信息隐瞒真实情况、弄虚作假。,91330212MA8FQCWW52,330212MA8FQCWW52,鄞州区,更正公示信息,2019-10-12,鄞州区,苏州可瑞森针织有限公司宁波市鄞州分公司
2022-12-23,未在责令期限内公示有关企业信息。,91330205MA2831BX7B,330205MA2831BX7B,江北区,补公示企业信息,2023-11-10,江北区,宁波江北达膳餐饮有限公司
2021-06-15,未在责令期限内公示有关企业信息。,91330205MA28YDEN6R,330205MA28YDEN6R,江北区,补公示企业信息,2022-03-01,江北区,宁波新文书报刊经营有限公司日湖公园报刊亭
