opt_unnor_markid,mark_dt,is_recov,recov_dt,pripid,uni_social_crd_cd,comp_nm
,,,,,91330201MA8FRUN437,宁波保税区维安卫生服务有限公司
,,,,,91330206MA7LDB042M,宁波王氏迦南眼镜有限公司北仑分公司
,,,,,92330206MACLB29E5P,宁波梅山保税港区金湛黄可叶商务服务部
,,,,,91330206308903425X,宁波守诺文化传媒有限公司
,,,,,92330206MA7BMXAK73,宁波梅山保税港区海根江浩多商务服务部
,,,,,92330206MA2KNQU141,宁波梅山保税港区海根马金才高商务服务部
,,,,,92330206MA7LDJYB89,宁波市北仑昌旺机械设备租赁服务部
,,,,,92330206MA7CTDK87G,宁波梅山保税港区海根王秀霞商务服务部
,,,,,92330206MA7FM75H3K,宁波梅山保税港区金湛龚娜商务服务部
,,,,,92330206MA2J7WPR36,宁波梅山保税港区金湛常福娟商务服务部
,,,,,92330206MA2KP7YW2L,宁波梅山保税港区金湛黄承忠商务服务部
,,,,,92330206MA2J402X2E,宁波梅山保税港区尽良筹章琳萍商务服务部
,,,,,92330206MA292UM368,宁波市北仑区新碶蒲舍香水店
,,,,,92330206MA2J7JX08M,宁波梅山保税港区尽良筹曾晓玲商务服务部
,,,,,92330206MA7EWMNY14,宁波梅山保税港区金湛黄湘湘商务服务部
,,,,,92330206MA2KNDUE52,宁波梅山保税港区海根秦进德商务服务部
,,,,,92330206MA2J6W0247,宁波梅山保税港区金湛张名涛商务服务部
,,,,,92330206MA7BQN1E59,宁波梅山保税港区海根李明亮高商务服务部
,,,,,92330206MA2EKTG38B,宁波市北仑区小港松胜餐馆
,,,,,92330206MA2KP31U5B,宁波梅山保税港区尽良筹国张商务服务部
,,,,,91330206MA8FUD7Q13,宁波市北仑区芦江家电商店霞浦店
,,,,,92330206MA2EKRBJ1H,宁波市北仑区大碶查尔斯顿眼镜店
,,,,,91330206340565200A,宁波爱鸣电子商务有限公司
,,,,,92330206MABM4FLW5Q,宁波北仑竞誉桌球馆
,,,,,92330206MA293YDHXX,宁波市北仑区梅山惠鑫汽车租赁服务部
,,,,,91330201MA2825TJ21,宁波启童文化传播有限公司
,,,,,92330206MA7HCY5Q80,宁波梅山保税港区金湛王雅众商务服务部
,,,,,91330206MA2GWACN1W,宁波市北仑区启思艺术特长培训有限公司
,,,,,92330206MA2920Q050,宁波市北仑区金利电脑制印社
,,,,,92330206MA2KPX5746,宁波梅山保税港区海根刘军明商务服务部
,,,,,92330206MA7F9UNR1R,宁波梅山保税港区金湛王一朗商务服务部
,,,,,92330206MA2J48UL43,宁波梅山保税港区金湛张沈锋商务服务部
,,,,,92330206MA2J79KT5D,宁波梅山保税港区金湛张飞商务服务部
,,,,,92330206MA2KNMC94E,宁波梅山保税港区金湛吕雪英商务服务部
,,,,,91330206MA2816FN3H,宁波浩翔物业管理有限公司
,,,,,91330206599458148M,宁波经济技术开发区雷斌文化传媒有限公司
,,,,,91330201MA2GQAFXXL,宁波茂业旅游发展有限公司
,,,,,92330206MA7C76U575,宁波梅山保税港区金湛郑春原商务服务部
,,,,,91330206595392612L,宁波经济技术开发区金座文化传媒有限公司
,,,,,92330206MA2KPEBT03,宁波梅山保税港区海根邓兴顺商务服务部
,,,,,92330206MABUNPGG0T,宁波梅山保税港区金湛王旭强商务服务部
,,,,,92330206MA7EK9YK69,宁波梅山保税港区金湛一吴丽萍商务服务部
,,,,,92330206MACPBFHG1G,宁波北仑铁鼠企业管理服务部
,,,,,92330206MA2KNLQY54,宁波梅山保税港区海根黄治岭商务服务部
,,,,,91330206MA2J5RED4P,宁波甬运文化旅游发展有限公司
,,,,,92330206MA2KNPW14F,宁波梅山保税港区金湛钱忠商务服务部
,,,,,91330206MA7LDBL2XQ,宁波辰润广告传媒有限公司
,,,,,92330206MA7C0GQW1B,宁波梅山保税港区海根巫耀宁商务服务部
,,,,,91330206MA2CKCC934,宁波海弦文旅文化发展有限公司
,,,,,92330206MA2EKGYR3R,宁波市北仑西捷图文制作中心
,,,,,92330206MA2KNQD08W,宁波梅山保税港区海根侯艳军商务服务部
,,,,,92330206MA7CCF71XB,宁波北仑王哥棋牌室
,,,,,91330206316976202Q,宁波北仑爱冉宝文化发展有限公司
,,,,,91330206MA2H7YBD3L,宁波霍纳文化传播有限公司
,,,,,92330206MA2KN4WX9J,宁波梅山保税港区金湛施艳商务服务部
,,,,,92330201MA2EQ3AP1G,宁波大榭开发区凯颖饮品店
,,,,,92330206MA2J46GY6N,宁波梅山保税港区金湛王晓波商务服务部
,,,,,92330206MA7EWMCE8G,宁波梅山保税港区金湛朱建康商务服务部
,,,,,92330206MA2KPHUG3J,宁波梅山保税港区金湛董瑗商务服务部
,,,,,92330206MA7F9Q1692,宁波梅山保税港区金湛王凡凡商务服务部
,,,,,91330206MA2KPNEA9C,宁波夏绿蒂托管服务有限公司
,,,,,91330206MA2CL4KY2C,宁波鸣瑄艺术特长培训有限公司
,,,,,91330201MA2GT6LY1X,宁波中影文化传媒有限公司
,,,,,92330206MA2KNMBA60,宁波梅山保税港区海根陶庭柱商务服务部
,,,,,91330201MA2CHWHN89,宁波祥鹏文化发展有限公司
,,,,,92330206MA2J4WGK2X,宁波梅山保税港区金湛杨金英商务服务部
,,,,,91330201MA2CHLWK9X,宁波瑾轩文化传媒有限公司
,,,,,92330206MA2KN2FT2H,宁波梅山保税港区金湛肖伟娟商务服务部
,,,,,92330206MA2KN8L50D,宁波梅山保税港区金湛郑恢复商务服务部
,,,,,92330206MA2KPX590U,宁波梅山保税港区海根谢龙通商务服务部
,,,,,92330206MA7EF921X0,宁波梅山保税港区金湛杨德斌商务服务部
,,,,,91330206MA2H743JX1,宁波金灵王体育文化有限公司
,,,,,91330206MA2J30GH56,宁波封策餐饮管理有限公司
,,,,,91330206MA7G0CPH57,瑞雅（宁波）文化发展有限公司
,,,,,91330206MAC7HTTCXX,宁波海轩会展服务有限公司
,,,,,92330206MA7F1TBT5K,宁波梅山保税港区尽良筹徐红商务服务部
,,,,,92330206MA7EUJ2E51,宁波梅山保税港区金湛冯彩利商务服务部
,,,,,91330206MA282C3353,宁波朗博计量检测有限公司
,,,,,92330206MA7F72CL54,宁波梅山保税港区金湛刘伟民商务服务部
,,,,,92330206MA2EKD8U4C,宁波市北仑区新碶歆迪眼镜店
,,,,,92330206MA2J5WR04B,宁波梅山保税港区海根李春茹商务服务部
,,,,,92330206MA2AHAPL0E,宁波市北仑区柴桥鲁家餐饮管理服务部
,,,,,92330206MAC4RB9314,宁波北仑拓湃设计服务部
,,,,,92330206MA2J77JQ9K,宁波梅山保税港区金湛金完强商务服务部
,,,,,92330206MA2KNBNY94,宁波梅山保税港区海根李乾坤通商务服务部
,,,,,92330206MA2AGKNX84,宁波市北仑区梅山胡筱霞舞蹈工作室
,,,,,92330206MA2J3HN23A,宁波梅山保税港区尽良筹冯炳婷商务服务部
,,,,,91330201MA2GWX2J8N,宁波识鹤国际贸易有限公司
,,,,,92330206MA2KPC7U8P,宁波梅山保税港区海根吕斌商务服务部
,,,,,92330206MA2GQ2BH16,宁波北仑云力商务服务部
,,,,,92330206MACXB25L8P,宁波市北仑区佳茂足浴店
,,,,,92330282MA2KPBWY7R,慈溪市白沙路源兴丰服装辅料店
,,,,,92330282MA293LRC23,慈溪市周巷满金足浴店
,,,,,92330201MABPYTGP03,宁波杭州湾新区贵味饭店
,,,,,92330282MA2AECH90A,慈溪市浒山圣骑士台球室
,,,,,92330282MA2GQK052B,慈溪市膳彤餐饮店
,,,,,92330282MA2EHT7W1Y,慈溪市胜山金达毛绒店
,,,,,92330282MA2H67FX3W,慈溪市四个啊哥餐饮店
,,,,,92330282MA2EHU358D,慈溪市周巷一木广告设计工作室
,,,,,92330282MA2EGN5M54,慈溪市掌起阿波渔具店
,,,,,92330282MA2EJNF13H,慈溪市天翔图文设计工作室
,,,,,91330201MAD9C98T7K,垂柳文化传媒（宁波）有限责任公司
,,,,,92330282MA2KN2X42C,慈溪市鑫来餐饮店
,,,,,91330282695069476W,慈溪鸿安鞋业发展有限公司
,,,,,91330282MA2KPUFF51,慈溪诺瓦教育科技有限公司白沙分公司
,,,,,91330282MA281MKN99,浙江万达旅游集团有限公司慈溪分公司
,,,,,92330282MA2EK06B08,慈溪市坎墩小张家纺用品店
,,,,,92330282MA2EJGJG2K,慈溪市宗汉兴容棋牌室
,,,,,92330282MA2EH33896,慈溪市微尘汇咖啡厅
,,,,,91330282MA2H5GMC50,慈溪鼎尚美轩文化创意有限公司观海卫分公司
,,,,,92330282MA2EJYDK6U,慈溪市法蒂玛文化创意工作室
,,,,,92330282MA2EJTCE77,慈溪市龙山永悦电器经营部
,,,,,92330282MA2EJAQ69M,慈溪市坎墩陈昌华化妆品店
,,,,,92330201MA2ENBQ554,宁波杭州湾新区红专快餐店
,,,,,92330282MA2AFT457Y,慈溪市三北佳红文具店
,,,,,92330282MA2EK7TH52,慈溪市浒山金足阁足浴店
,,,,,92330282MACML7UB33,慈溪市足舒缘足浴店
,,,,,91330282MA282F0T7P,慈溪大马力电影放映有限公司
,,,,,92330282MAD478936T,慈溪市五号健身俱乐部（个体工商户）
,,,,,92330282MA2917PA4E,慈溪市观海卫陈隆餐馆
,,,,,92330282MABR9NNR07,慈溪市澄天动漫设计工作室
,,,,,91330282MA2AJ40JX5,慈溪市协谦工艺品厂
,,,,,92330282MA2EJ6KJ6F,慈溪市横河镇华梅照棉布店
,,,,,92330201MA2GUFM0X1,宁波杭州湾新区珠英餐饮店
,,,,,92330282MA2H8JAH46,慈溪市龙山自方餐饮店
,,,,,92330282MA2EJLC86J,慈溪市周巷海连饭店
,,,,,913302017449761022,宁波妈咪宝婴童用品制造有限公司
,,,,,92330282MA2H6BCF8R,慈溪市掌起小徐餐饮店
,,,,,91330282MACN77KH3W,宁波市梅高梅文化传媒有限公司
,,,,,92330282MA2EJKG383,慈溪市古塘阿珊工艺品店
,,,,,91330282MACDJY8E2C,宁波琼玖商贸有限公司
,,,,,92330282MA283W6P40,慈溪市胜山镇志育青春照相馆
,,,,,91330282MA2GT9ER8C,浙江唐越青瓷有限公司
,,,,,92330282MA2H8GP61W,慈溪市梦燕来足浴店
,,,,,92330282MA2EHPJR64,慈溪市坎墩新华棉布店
,,,,,91330282071475652X,慈溪市佳德艺术品有限公司
,,,,,92330282MABY6THG90,慈溪市浒山胜耀修脚店
,,,,,91330282MA2J74J40J,慈溪市溪舍装饰设计有限公司
,,,,,91330282MA2H5HEX9D,慈溪市陆小鹿甜心舞蹈培训有限公司
,,,,,92330282MA2J6P105U,慈溪颖诺化妆品店
,,,,,92330282MAD0B08E6B,慈溪市驿心餐饮店
,,,,,92330282MA2EK7YQ0G,慈溪市坎墩洁净浴室
,,,,,92330201MACYKAQU7R,宁波前湾新区和气棋牌室
,,,,,913302827645150041,慈溪市天润广告有限公司
,,,,,92330282MA2EH7GD3F,慈溪市附海中新客房部
,,,,,92330282MA2EJJQA6A,慈溪市附海御足苑足浴店
,,,,,92330282MA2EK32DX3,慈溪市范市六星家用电器店
,,,,,92330201MACPLJ2D7X,宁波前湾新区春序餐饮店
,,,,,92330282MA2EJGUH0H,慈溪市伟财饭店
,,,,,92330282MA2EJ85R16,慈溪市匡堰镇热浪太阳能热水器店
,,,,,92330282MA2EJJ7J9B,慈溪市逍林阿峰排档
,,,,,92330282MA2AJ2287G,慈溪市禾言广告设计工作室
,,,,,92330282MACRCY7L8W,慈溪市浒山小琦足浴店
,,,,,92330282MA2CKXD115,慈溪市坎墩伟义挖掘机租赁服务部
,,,,,92330282MA2918BE09,慈溪市胜山利超家纺店
,,,,,92330282MA2CLGQC3Y,慈溪市观海卫麻继烤鱼店
,,,,,91330282MAC39LBY6J,宁波翠品楼餐饮有限公司
,,,,,92330282MA2J5MDT5L,慈溪市祁茗陶瓷工作室
,,,,,92330282MA2EHH8U9B,慈溪市逍林孙记川菜馆
,,,,,91330282768508354X,慈溪市三北浩燕绣品厂（普通合伙）
,,,,,91330282MA2KPMPG54,慈溪市梓悦文化传播有限公司
,,,,,91330282MA2H5UQA25,慈溪市宸灵艺术特长培训有限公司
,,,,,91330282MACN59P6XP,瑞幸咖啡（宁波）有限公司观海卫第二分店
,,,,,91330282MA2KPUF96X,宁波寻鼎文化传媒有限公司
,,,,,91330282MA2GFAFW1H,龙海市华达运输有限公司慈溪分公司
,,,,,91330282079201939U,宁波赛客运动器材有限公司
,,,,,91330282MAD2ANTL67,宁波贝驰贸易有限公司
,,,,,91330282MAD58L25XG,慈溪市玉宸文化传媒有限公司
,,,,,91330282MABYNY8QXY,宁波绿萝儿童用品有限公司
,,,,,91330282MA7CD8GQ8F,宁波滋威食品有限公司慈溪智谷店
,,,,,91330282MA2GQ5801E,宁波逸侠彤电子有限公司
,,,,,92330282MA2EJMYA5Y,慈溪市桥头浩泽电脑绣花厂
,,,,,92330201MACU6R1925,宁波前湾新区呀蜜餐饮店
,,,,,91330282MA292E3154,宁波贝值贸易有限公司
,,,,,92330282MA2H8JWEXN,慈溪市浒山菊雅美容店
,,,,,92330201MAD1YXEU18,宁波前湾新区添财餐饮店
,,,,,92330201MAD97XRE32,宁波前湾新区瑞霞晨饭店（个体工商户）
,,,,,92330282MA2J584F58,慈溪市悦生电子商务经营部
,,,,,92330282MA2EGPUN8J,慈溪市掌起客聚轩宾馆
,,,,,92330282MA2GTNU90P,慈溪市浒山晓刘足浴店
,,,,,91330282066618110G,中国邮政集团有限公司浙江省慈溪市剑山报刊亭
,,,,,91330282MAD698HX5P,慈溪市天祈娱乐有限公司
,,,,,91330201MAC3AENG15,宁波熙斯健身服务有限公司
,,,,,9133020159948053XH,宁波杭州湾新区洪森杰克文化传媒有限公司
,,,,,92330282MA2J3C8Q06,慈溪市龙山阳阳面馆
,,,,,91330282MA2GWNG47C,宁波斐然装饰设计有限公司
,,,,,92330282MA2J5YGW1C,慈溪市宗汉王治英奶茶店
,,,,,92330282MA2EHRPB9R,慈溪市横河呈祥文具用品店
,,,,,92330282MA2934HA6C,慈溪市宝真眼镜店
,,,,,92330282MA2CLL708E,慈溪市浒山潘记钟表行
,,,,,92330282MA7M58HJ2J,慈溪市掌起香龙奶茶店
,,,,,92330201MA2J40NKX1,宁波杭州湾新区鸣山广告设计工作室
,,,,,91330201MABU14C746,高瞻商业管理（宁波）有限公司
,,,,,91330282MA7MG4DQ3G,宁波亿丰叉车租赁服务有限公司
,,,,,92330201MA2AH4LY5K,宁波杭州湾新区黑泷堂饮品店
,,,,,91330281MA2AJCF79C,宁波景墨园林工程有限公司
,,,,,92330282MA2EJ3320U,慈溪市逍林鸿立电脑绣花厂
,,,,,91330201MA2CHCEF9G,宁波杭州湾新区海草洗涤有限公司
,,,,,92330282MA2EK3UJ72,慈溪市龙山乾宏棋牌室
,,,,,92330201MA2EN7DW27,宁波杭州湾新区酷亮眼镜店
,,,,,91330282MA2AJUMQ8P,宁波爱焱儿童用品有限公司
,,,,,92330282MA2AH0PM1C,慈溪市浒山芝咪餐饮店
,,,,,92330282MABQ513J5A,慈溪市浒山臻牛餐饮店
,,,,,92330282MACYT3MN48,慈溪市古塘洁寐家纺店
,,,,,92330282MA2GWCA9X8,慈溪市五和饭店
,,,,,92330282MACN8R3M66,慈溪市附海艾萍首饰店
,,,,,92330282MA2EK43C05,慈溪市博盛礼品商行
,,,,,92330282MA28361X74,慈溪市浒山晓康足浴店
,,,,,92330201MACPDP6W0C,宁波前湾新区杰博帐篷租赁服务部
,,,,,92330282MA2915Y71B,慈溪市浒山鑫翠缘珠宝店
,,,,,91330282MA2839E32C,慈溪市行建汽车服务有限公司
,,,,,92330201MA2EN7AW39,慈溪市庵东龙祥珠宝商行
,,,,,92330282MA2AF3A54H,慈溪市福包餐饮店
,,,,,92330282MABQ2RF430,慈溪市慧成广告设计工作室
,,,,,92330282MACQJ4KF7Q,慈溪市宗汉窝努餐饮店
,,,,,91330282MABRBFKQ2B,慈溪市汛鑫玩具有限公司
,,,,,92330282MA2EJN4A7Q,慈溪市古塘亮彩横幅广告制作社
,,,,,91330282MA2GRBBP7W,慈溪市函洵绘画培训有限责任公司
,,,,,92330282MA2KNGURXF,慈溪横河锐亮眼镜店
,,,,,91330282MA2823TF40,宁波晨永文具有限公司
,,,,,91330201MA2836JM1J,宁波杭州湾新区兰岛网咖网吧
,,,,,92330282MA2EGMW20C,慈溪市观海卫镇广义盲人按摩院
,,,,,91330282MA291BWWXT,慈溪斯塔克渔具有限公司
,,,,,91330201MA2H4A873D,宁波灵燕眼镜有限公司
,,,,,92330201MA29320P5D,宁波杭州湾新区之翔黄焖鸡米饭店
,,,,,92330282MABNYGJT5G,慈溪市老爸与海玩具经营部
,,,,,92330282MA2J7BBJ1U,慈溪市龙山梦声奶茶店
,,,,,92330282MA2EHRQD1Q,慈溪市观海卫镇海燕照相馆
,,,,,92330282MAC5GFUF5Y,慈溪市迈步模具设计工作室
,,,,,92330282MA2EGPR00P,慈溪市胜山创兴货运代理服务站
,,,,,92330282MABWX0F60F,慈溪市诗武烤鱼店
,,,,,91330203MACBJT4X75,宁波喜喵文化传媒有限公司
,,,,,91330203MA2J79RK63,浙江樊墨文化传媒有限公司
,,,,,91330203MA28Y8M13H,浙江凯登供应链管理有限公司
,,,,,91330203MAD4TNCYXW,宁波市潮麦睿宇娱乐服务部（个人独资）
,,,,,91330203MA28314Y02,宁波时间印象文化传媒有限公司
,,,,,91330203MA2GTXKK49,宁波远舟文化传媒有限公司
,,,,,913302043168574571,宁波艾微广告传媒有限公司
,,,,,91330212MA2GQRHU4T,卯介设计（宁波）有限公司
,,,,,91330203340568532Y,宁波云边文化传媒有限公司
,,,,,913302036747483304,宁波海曙宁兴汽车租赁服务有限公司
,,,,,92330203MA2EQKTX4B,宁波海曙新知川菜馆
,,,,,91330203MA2J6JXU8H,宁波科答鸭文化创意有限公司
,,,,,91330203MA2J41RP9F,宁波市海曙区新凯莉娱乐会所
,,,,,91330203MA2CL0JJ22,宁波宁久汽车服务有限公司
,,,,,91330212MA2H6W2C7C,宁波清沐瑜伽健身服务有限公司
,,,,,91330203MACBWKJ25D,森岛旅游文化发展（宁波）有限责任公司
,,,,,91330203MA2GG1ML77,宁波市海曙高塘茶楼
,,,,,91330203MA8FQL3542,宁波市鄞州甬金工艺品厂（普通合伙）
,,,,,91330203MACC0WFY0L,淮安多禾传媒有限公司宁波分公司
,,,,,91330212MA2CKUCB9T,成都三合力诚商务服务有限责任公司宁波分公司
,,,,,91330203MACBB9WY57,宁波鹤润商业管理有限公司
,,,,,92330203MACMNA8K6G,宁波市海曙超彩布料商行
,,,,,91330203MA2K8H965U,宁波天一绿洲珠宝有限公司
,,,,,91330203MA2K8J9B1U,宁波万斛文化传播有限公司
,,,,,91330203591558750M,宁波海曙英杰教育咨询有限公司
,,,,,91330203554536595A,宁波市海曙运盛商务广告有限公司
,,,,,91330203MA2J7CGM05,宁波铭星汽车服务有限公司
,,,,,91330203MACATE8212,宁波彬盈堂商贸有限公司
,,,,,92330203MA2ER5TX9D,宁波市海曙石碶多姿化妆品店
,,,,,92330203MA2KQ9291R,宁波市海曙区尝未尝往餐饮店
,,,,,91330203MA2J4AF53J,宁波青岑餐饮文化有限公司
,,,,,92330203MA2KQB3Q2G,宁波海曙区十度奶茶店
,,,,,92330203MA284GUR50,宁波市海曙鄞江凤凰山庄饭店
,,,,,91330203MAC4FGQ03T,星睿（宁波市）珠宝有限公司天一银泰分公司
,,,,,92330203MA2H5BMC1Y,宁波海曙琳宝达商务信息咨询服务部
,,,,,91330203MA282NK92P,宁波麦购文化传播有限公司
,,,,,91330203MA7EB8TGX9,宁波起峰酒店管理有限公司
,,,,,92330203MA28Y2KX6X,宁波市海曙集士港鸿胜复印打字店
,,,,,92330203MA2GW5RPXU,宁波海曙昊翔工艺品厂
,,,,,91330203MA2GG09G02,宁波海曙蓝海清洗服务部
,,,,,92330200MA2846PQ8X,宁波望湖市场培良玩具礼品经营部
,,,,,92330203MACX5U4N19,宁波市海曙区德茂纸制品厂
,,,,,91330203MA2H7E555H,宁波飞牙商旅票务有限公司
,,,,,91330203MABX2THK97,宁波玖世文化传媒有限公司
,,,,,91330203MA281QYM03,宁波派胜体育文化发展有限公司
,,,,,92330203MA2EQPBL5W,宁波市海曙琦缘窗帘商行
,,,,,91330200MA2GFD539L,浙江海内外商务旅游有限公司宁波柳汀门市部
,,,,,913302125670477823,宁波晨鑫汽车客运有限公司
,,,,,92330203MA2CKRA59N,宁波市海曙古林冲冲化妆品店
,,,,,92330203MA2GUHW41H,宁波市海曙区蓝派图文设计工作室
,,,,,91330203MA2H7PPX15,宁波冉玖娱乐有限公司
,,,,,92330203MA2CJYL36G,宁波市海曙高桥一宏饮品店
,,,,,91330203MA2GWG9T8M,浙江村村通汽车服务有限公司
,,,,,91330203MA2GU6LW0D,福建闪电行网络技术有限公司宁波分公司
,,,,,91330203MA2839L37G,宁波市天普烨森档案服务有限公司
,,,,,92330203MA7C14J67T,宁波市海曙区昕光体育用品商店
,,,,,91330203MA2CM5P47B,宁波你得艺术设计有限公司
,,,,,92330203MA2AG73H4D,宁波市海曙章水正奇广告服务部
,,,,,92330203MA2CKG2W90,宁波市海曙宁仕广告服务部
,,,,,91330203MAC1GD926B,超客（宁波）传媒有限公司
,,,,,92330203MA2KQK7W12,宁波海曙区深蓝室内游戏工作室
,,,,,92330203MA291NM90L,宁波市海曙高桥卤宝食品店
,,,,,913302036950718083,宁波海曙今日机电有限公司
,,,,,91330203MA2GFW7U41,宁波海曙澜亚展览有限公司
,,,,,91330203MA7MA9M92K,宁波伍洲兄弟餐饮管理有限公司
,,,,,91330206MABXA5ND8U,宁波博域智能装备有限公司
,,,,,913302036880182919,宁波海曙新大绿洲广告有限公司
,,,,,92330203MA2H7PPM1R,宁波市海曙漠北餐饮店
,,,,,91330203599474340F,宁波海曙汉品文化传播有限公司
,,,,,92330203MA2KPHFFXJ,宁波市海曙区欢喜餐厅
,,,,,91330203MA2AGCT63Q,宁波星悦户外拓展策划有限公司
,,,,,92330203MAC63XNFXJ,宁波市海曙阿秀棋牌室
,,,,,91330203MA2GWAJE2E,宁波余立文化传媒有限公司
,,,,,91330203MA293CWU7Y,宁波市瀚宇旅游文化传播有限公司
,,,,,91330203MA2GR0YQ1A,宁波市海曙博程艺术培训有限公司
,,,,,91330203MA2J74J08R,宁波市泉乐广告制作有限公司
,,,,,92330203MA2ER12KXU,宁波市鄞州高桥象塘工艺品商行
,,,,,91330203MA2K8KUE2F,宁波海曙百德文具有限公司
,,,,,92330203MA2CMA8XX5,宁波海曙德佳房产中介服务部
,,,,,91330203MAC5A6AAXR,宁波艾恰餐饮服务有限公司日新街第一分公司
